method,seed,train time (s),time for 45% (s),time for 50% (s)
BP,0,1520.02,1520.02,1520.02
BP,1,1521.01,1071.95,1521.01
BP,2,1502.96,1502.96,1502.96
BP,3,1461.24,979.29,1461.24
BP,4,1465.57,724.05,987.78
BP,5,1458.58,925.96,1167.31
BP,6,1470.48,1168.58,1470.48
BP,7,1468.7,961.58,1468.7
BP,8,1473.13,573.31,794.86
BP,9,1470.3,749.3,1117.28
CBP,0,1471.98,566.91,823.44
CBP,1,1486.69,579.93,862.04
CBP,2,1492.98,560.21,806.22
CBP,3,1476.1,545.24,831.91
CBP,4,1469.99,588.2,866.96
CBP,5,1478.62,549.83,814.49
CBP,6,1473.92,575.54,876.72
CBP,7,1479.74,562.65,835.38
CBP,8,1480.18,570.15,798.28
CBP,9,1475.87,546.15,781.72
