method,loss_func,net,seed,init,act_func,train loss,train loss (last),test acc,test acc (last)
BP,CE,MLP5,0,None,relu,0.4787696897983551,0.6019984483718872,0.4623,0.4603
BP,CE,MLP5,1,None,relu,0.466182291507721,0.5354319214820862,0.4863,0.4809
BP,CE,MLP5,2,None,relu,0.7321721315383911,0.8291564583778381,0.4207,0.3966
BP,CE,MLP5,3,None,relu,0.0007840335019864143,0.003476969664916396,0.5447,0.5396
BP,CE,MLP5,4,None,relu,0.0006506514037027955,0.0008862470276653768,0.5524,0.5502
BP,CE,MLP5,5,None,relu,0.0007194198551587759,0.001022825250402093,0.5569,0.5528
BP,CE,MLP5,6,None,relu,0.0010362999746575954,0.0015784765128046276,0.5472,0.5439
BP,CE,MLP5,7,None,relu,0.25980448722839355,2.3025920391082764,0.4976,0.1
BP,CE,MLP5,8,None,relu,0.0006345310830511153,0.001109600067138672,0.5513,0.5478
BP,CE,MLP5,9,None,relu,0.025388030335307118,0.052250515669584274,0.5438,0.5419
CBP,CE,MLP5,0,None,relu,0.0007171450997702777,0.0010340929729864,0.5614,0.5604
CBP,CE,MLP5,1,None,relu,0.0007753227255307138,0.0009742354159243404,0.5577,0.5539999999999999
CBP,CE,MLP5,2,None,relu,0.0008056866936385633,0.0010679950937628746,0.5517,0.5505
CBP,CE,MLP5,3,None,relu,0.0006214381428435445,0.0008517422829754652,0.562,0.5591
CBP,CE,MLP5,4,None,relu,0.0008359672501683235,0.001149032614193857,0.5612,0.5599
CBP,CE,MLP5,5,None,relu,0.000552517652977258,0.0007077626651152967,0.5647,0.5613
CBP,CE,MLP5,6,None,relu,0.0011256904108449817,0.0015216029714792967,0.5599,0.5567
CBP,CE,MLP5,7,None,relu,0.0006040824810042977,0.0008630279917269945,0.5631,0.5631
CBP,CE,MLP5,8,None,relu,0.0008787511033006012,0.0012592169223353267,0.5625,0.5543
CBP,CE,MLP5,9,None,relu,0.0008558165864087641,0.0010028963442891836,0.5603,0.5543
