method,seed,train time (s),time for 50% (s),time for 55% (s)
BP,0,2178.04,2178.04,2178.04
BP,1,2093.38,2093.38,2093.38
BP,2,2078.15,2078.15,2078.15
BP,3,2077.55,483.37,2077.55
BP,4,2067.48,275.9,1528.57
BP,5,2012.74,315.89,1582.91
BP,6,2020.84,324.37,2020.84
BP,7,2057.05,2057.05,2057.05
BP,8,2014.9,262.84,1611.28
BP,9,2019.57,941.93,2019.57
CBP,0,2017.55,558.66,948.89
CBP,1,2017.46,544.92,1479.37
CBP,2,2025.36,511.51,795.73
CBP,3,2025.65,554.31,818.4
CBP,4,2029.4,526.62,1623.75
CBP,5,2031.8,500.63,785.64
CBP,6,2027.28,527.23,1602.62
CBP,7,2053.34,567.72,889.15
CBP,8,2032.46,527.49,1543.4
CBP,9,2032.65,541.49,1517.23
