method,loss_func,net,seed,init,act_func,train loss,train loss (last),test acc,test acc (last)
BP,CE,MLP5,0,None,relu,1.6930375099182131,1.7520813941955566,0.3835,0.37799999999999995
BP,CE,MLP5,1,None,relu,1.502383589744568,1.5942325592041016,0.4415,0.4328
BP,CE,MLP5,2,None,relu,1.7896617650985718,1.882906913757324,0.3396,0.3396
BP,CE,MLP5,3,None,relu,1.4640997648239136,1.5677728652954102,0.4402,0.4332
BP,CE,MLP5,4,None,relu,1.3168678283691406,1.3901129961013794,0.4824,0.4771
BP,CE,MLP5,5,None,relu,1.4714101552963257,1.5903279781341553,0.442,0.4209
BP,CE,MLP5,6,None,relu,1.5407477617263794,1.6545696258544922,0.4279,0.4105
BP,CE,MLP5,7,None,relu,1.42130446434021,1.669136881828308,0.4466,0.4274
BP,CE,MLP5,8,None,relu,1.1924543380737305,1.3447089195251465,0.5074,0.5016
BP,CE,MLP5,9,None,relu,1.4242448806762695,1.5997267961502075,0.4679,0.4592
CBP,CE,MLP5,0,None,relu,1.237572193145752,1.2608788013458252,0.5063,0.5044
CBP,CE,MLP5,1,None,relu,1.2031397819519043,1.3641515970230105,0.5055,0.4873
CBP,CE,MLP5,2,None,relu,1.1516512632369995,1.3659451007843018,0.5179,0.4914
CBP,CE,MLP5,3,None,relu,1.2014119625091553,1.337822437286377,0.5102,0.4788
CBP,CE,MLP5,4,None,relu,1.216357946395874,1.3247398138046265,0.5088,0.4991
CBP,CE,MLP5,5,None,relu,1.1681265830993652,1.370336413383484,0.5169,0.509
CBP,CE,MLP5,6,None,relu,1.191291332244873,1.3066327571868896,0.5121,0.5063
CBP,CE,MLP5,7,None,relu,1.210651159286499,1.3350135087966921,0.5058,0.5058
CBP,CE,MLP5,8,None,relu,1.2041412591934204,1.309418797492981,0.5133,0.5007
CBP,CE,MLP5,9,None,relu,1.1773134469985962,1.2880024909973145,0.5155,0.5155
