batchsize,metric,momentum,p-value
100,train loss,0.0,0.0016964882693432627
100,train loss,0.9,0.12860821048585044
100,test acc,0.0,0.004619964045477477
100,test acc,0.9,0.0588030598970788
400,train loss,0.0,0.0002618979684039286
400,train loss,0.9,0.014573813896707553
400,test acc,0.0,0.001279653911161326
400,test acc,0.9,0.0050232392686140005
1000,train loss,0.0,2.7778964369761202e-05
1000,train loss,0.9,0.01752011956187676
1000,test acc,0.0,6.70223177291975e-05
1000,test acc,0.9,0.004267376982729731
