method,loss_func,net,seed,init,act_func,train loss,train loss (last),test acc,test acc (last),momentum,batchsize
BP,CE,MLP5,0,None,relu,0.8822181224822998,1.2293787002563477,0.4273,0.417,0.0,100
BP,CE,MLP5,1,None,relu,0.7896117568016052,1.2758030891418457,0.4807,0.4693,0.0,100
BP,CE,MLP5,2,None,relu,0.9440732598304749,1.4977459907531738,0.4235,0.3679,0.0,100
BP,CE,MLP5,3,None,relu,0.36256083846092224,0.4904592037200928,0.5507,0.5419,0.0,100
BP,CE,MLP5,4,None,relu,0.3364180028438568,0.4772458374500274,0.5585,0.5568,0.0,100
BP,CE,MLP5,5,None,relu,0.3691515624523163,0.6247847080230713,0.5529999999999999,0.5379,0.0,100
BP,CE,MLP5,6,None,relu,0.5311486124992371,0.8944892287254333,0.5307,0.5176,0.0,100
BP,CE,MLP5,7,None,relu,0.5184905529022217,0.7884719371795654,0.504,0.504,0.0,100
BP,CE,MLP5,8,None,relu,0.3085152506828308,0.3860074579715729,0.5541,0.5495,0.0,100
BP,CE,MLP5,9,None,relu,0.4889846742153168,0.8554641008377075,0.5295,0.4985,0.0,100
CBP,CE,MLP5,0,None,relu,0.2728403806686401,0.4744032919406891,0.5553,0.5309,0.0,100
CBP,CE,MLP5,1,None,relu,0.29903116822242737,0.5522351861000061,0.5566,0.5347,0.0,100
CBP,CE,MLP5,2,None,relu,0.2976309657096863,0.57692551612854,0.5605,0.5283,0.0,100
CBP,CE,MLP5,3,None,relu,0.2920221984386444,0.3386571407318115,0.5612,0.5547,0.0,100
CBP,CE,MLP5,4,None,relu,0.3211046159267425,0.5447306632995605,0.5543,0.5481,0.0,100
CBP,CE,MLP5,5,None,relu,0.3070666790008545,0.4244089424610138,0.5612,0.5366,0.0,100
CBP,CE,MLP5,6,None,relu,0.2864267826080322,0.5694514513015747,0.5629,0.5387,0.0,100
CBP,CE,MLP5,7,None,relu,0.3210418820381165,0.3861599862575531,0.5568,0.5469,0.0,100
CBP,CE,MLP5,8,None,relu,0.3188493549823761,0.5208294391632079,0.5583,0.541,0.0,100
CBP,CE,MLP5,9,None,relu,0.2962692975997925,0.4755876064300537,0.5598,0.5576,0.0,100
BP,CE,MLP5,0,None,relu,0.061553291976451874,0.3955809772014618,0.5438,0.5338,0.9,100
BP,CE,MLP5,1,None,relu,0.05147344619035722,0.29766419529914856,0.5473,0.5371,0.9,100
BP,CE,MLP5,2,None,relu,0.17699609696865082,0.4319011569023132,0.5395,0.5373,0.9,100
BP,CE,MLP5,3,None,relu,0.050046902149915695,0.1081829071044922,0.5471,0.5342,0.9,100
BP,CE,MLP5,4,None,relu,0.03715135529637337,0.18583588302135468,0.5457,0.5347,0.9,100
BP,CE,MLP5,5,None,relu,0.04188889637589455,0.25401222705841064,0.5461,0.535,0.9,100
BP,CE,MLP5,6,None,relu,0.1864919811487198,0.4540387988090515,0.5264,0.504,0.9,100
BP,CE,MLP5,7,None,relu,0.03060168027877808,0.2315151542425156,0.5459,0.5226,0.9,100
BP,CE,MLP5,8,None,relu,0.0454426184296608,0.2637510299682617,0.5511,0.5302,0.9,100
BP,CE,MLP5,9,None,relu,0.052882380783557885,0.18502837419509888,0.5467,0.5293,0.9,100
CBP,CE,MLP5,0,None,relu,0.0523572638630867,0.20357269048690804,0.5421,0.5342,0.9,100
CBP,CE,MLP5,1,None,relu,0.048001594841480255,0.2483226805925369,0.5511,0.5279,0.9,100
CBP,CE,MLP5,2,None,relu,0.053143538534641266,0.19140079617500305,0.5483,0.5307,0.9,100
CBP,CE,MLP5,3,None,relu,0.05406153202056885,0.22436879575252533,0.5514,0.5276,0.9,100
CBP,CE,MLP5,4,None,relu,0.0480654239654541,0.121344156563282,0.5453,0.5227,0.9,100
CBP,CE,MLP5,5,None,relu,0.057236518710851676,0.1854822188615799,0.5468,0.5235,0.9,100
CBP,CE,MLP5,6,None,relu,0.05182543769478798,0.19149240851402285,0.5459,0.5277,0.9,100
CBP,CE,MLP5,7,None,relu,0.05331136658787728,0.4187645614147186,0.5488,0.5336,0.9,100
CBP,CE,MLP5,8,None,relu,0.05600057169795036,0.2550613582134247,0.5456,0.5335,0.9,100
CBP,CE,MLP5,9,None,relu,0.046383120119571686,0.3965348899364472,0.5544,0.544,0.9,100
BP,CE,MLP5,0,None,relu,1.374290943145752,1.517298460006714,0.4117,0.3805,0.0,400
BP,CE,MLP5,1,None,relu,1.184375882148743,1.3147015571594238,0.4754,0.4738,0.0,400
BP,CE,MLP5,2,None,relu,1.5176873207092283,1.648358941078186,0.3581,0.3497,0.0,400
BP,CE,MLP5,3,None,relu,1.131760597229004,1.3087882995605469,0.4823,0.4484,0.0,400
BP,CE,MLP5,4,None,relu,0.8999642133712769,1.0679750442504885,0.5419,0.5393,0.0,400
BP,CE,MLP5,5,None,relu,0.9537984728813172,1.0975569486618042,0.5362,0.5314,0.0,400
BP,CE,MLP5,6,None,relu,1.1955701112747192,1.4212701320648191,0.4669,0.4219,0.0,400
BP,CE,MLP5,7,None,relu,1.0802894830703735,1.2725986242294312,0.4913,0.4786,0.0,400
BP,CE,MLP5,8,None,relu,0.8436241745948792,0.9578386545181274,0.5467,0.5308,0.0,400
BP,CE,MLP5,9,None,relu,1.0612698793411257,1.3168672323226929,0.5156,0.4835,0.0,400
CBP,CE,MLP5,0,None,relu,0.8706783056259155,1.0471378564834597,0.5501,0.5136,0.0,400
CBP,CE,MLP5,1,None,relu,0.8450900316238403,1.0075461864471436,0.5429999999999999,0.5143,0.0,400
CBP,CE,MLP5,2,None,relu,0.8043275475502014,1.1584622859954834,0.5521,0.4995,0.0,400
CBP,CE,MLP5,3,None,relu,0.8269922733306885,0.9268627166748048,0.5501,0.5375,0.0,400
CBP,CE,MLP5,4,None,relu,0.872740626335144,1.1070551872253418,0.545,0.545,0.0,400
CBP,CE,MLP5,5,None,relu,0.8349582552909851,1.000178337097168,0.5464,0.5355,0.0,400
CBP,CE,MLP5,6,None,relu,0.8592986464500427,0.8652341365814209,0.5531,0.5499,0.0,400
CBP,CE,MLP5,7,None,relu,0.8677460551261902,0.9725954532623292,0.5482,0.5261,0.0,400
CBP,CE,MLP5,8,None,relu,0.8421303033828735,0.9424089193344116,0.5553,0.545,0.0,400
CBP,CE,MLP5,9,None,relu,0.8297129273414612,0.9532581567764282,0.5489999999999999,0.5163,0.0,400
BP,CE,MLP5,0,None,relu,0.25830939412117004,0.4865660071372986,0.5092,0.4958,0.9,400
BP,CE,MLP5,1,None,relu,0.0003863000019919127,0.014086029492318632,0.5566,0.5537,0.9,400
BP,CE,MLP5,2,None,relu,0.29929232597351074,0.5360721349716187,0.4965,0.4714,0.9,400
BP,CE,MLP5,3,None,relu,0.0012315833009779453,0.007774793077260257,0.5544,0.5486,0.9,400
BP,CE,MLP5,4,None,relu,0.00035074647166766226,0.0006636828184127808,0.5608,0.5602,0.9,400
BP,CE,MLP5,5,None,relu,0.0002193889231421053,0.000658170785754919,0.5672,0.5641,0.9,400
BP,CE,MLP5,6,None,relu,0.20682482421398168,0.3724510669708252,0.5309,0.5105,0.9,400
BP,CE,MLP5,7,None,relu,0.17623811960220334,0.6651611924171448,0.5013,0.4613,0.9,400
BP,CE,MLP5,8,None,relu,0.00040973964496515686,0.0011245559435337784,0.5639,0.5623,0.9,400
BP,CE,MLP5,9,None,relu,0.0010949395364150405,0.3130791783332825,0.5611,0.5187,0.9,400
CBP,CE,MLP5,0,None,relu,0.0002258673630421981,0.0009143645293079317,0.5654,0.5622,0.9,400
CBP,CE,MLP5,1,None,relu,0.00037148644332773983,0.0018377394881099465,0.5624,0.5598,0.9,400
CBP,CE,MLP5,2,None,relu,0.00023187485930975527,0.0005341590731404722,0.5705,0.5689,0.9,400
CBP,CE,MLP5,3,None,relu,0.0007523148669861258,0.0071399700827896595,0.562,0.561,0.9,400
CBP,CE,MLP5,4,None,relu,0.0008048815070651473,0.007420559413731098,0.5679,0.5635,0.9,400
CBP,CE,MLP5,5,None,relu,0.00038340475293807685,0.0035174828954041004,0.5675,0.5675,0.9,400
CBP,CE,MLP5,6,None,relu,0.0005435205530375242,0.0032707098871469498,0.561,0.5579,0.9,400
CBP,CE,MLP5,7,None,relu,0.0004227697208989412,0.001090179430320859,0.5702,0.5679,0.9,400
CBP,CE,MLP5,8,None,relu,0.0008125060703605412,0.0014762962237000465,0.5659,0.5645,0.9,400
CBP,CE,MLP5,9,None,relu,0.0017526266165077686,0.01904338039457798,0.5662,0.5637,0.9,400
BP,CE,MLP5,0,None,relu,1.6930375099182131,1.7520813941955566,0.3835,0.378,0.0,1000
BP,CE,MLP5,1,None,relu,1.502383589744568,1.5942325592041016,0.4415,0.4328,0.0,1000
