method,loss_func,net,seed,init,act_func,train loss,train loss (last),train acc,train acc (last)
BP,CE,4-3-2,0,None,relu,0.5487238168716431,0.5487251281738281,0.7620320855614974,0.7620320855614974
BP,CE,4-3-2,1,None,relu,0.4728976190090179,0.4728976190090179,0.7754010695187166,0.7727272727272727
BP,CE,4-3-2,2,None,relu,0.4729535877704621,0.4729535877704621,0.7834224598930482,0.7834224598930482
BP,CE,4-3-2,3,None,relu,0.5487247109413147,0.5487247705459595,0.7620320855614974,0.7620320855614974
BP,CE,4-3-2,4,None,relu,0.4725916683673858,0.4725916683673858,0.7740641711229946,0.7727272727272727
BP,CE,4-3-2,5,None,relu,0.4701429605484009,0.4701429605484009,0.7754010695187166,0.7740641711229946
BP,CE,4-3-2,6,None,relu,0.4724498093128204,0.4724498093128204,0.7834224598930482,0.7834224598930482
BP,CE,4-3-2,7,None,relu,0.4742045700550079,0.4742045700550079,0.7740641711229946,0.7727272727272727
BP,CE,4-3-2,8,None,relu,0.5487248897552489,0.5487249493598938,0.7620320855614974,0.7620320855614974
BP,CE,4-3-2,9,None,relu,0.4722466766834259,0.4722466766834259,0.7740641711229946,0.7740641711229946
CBP,CE,4-3-2,0,None,relu,0.4734776020050049,0.4734776020050049,0.7740641711229946,0.7727272727272727
CBP,CE,4-3-2,1,None,relu,0.470274567604065,0.470274567604065,0.7847593582887701,0.7847593582887701
CBP,CE,4-3-2,2,None,relu,0.4681625664234162,0.4681625664234162,0.7794117647058824,0.7794117647058824
CBP,CE,4-3-2,3,None,relu,0.4727491438388825,0.4727491438388825,0.7754010695187166,0.7727272727272727
CBP,CE,4-3-2,4,None,relu,0.4708926677703858,0.4708926677703858,0.7847593582887701,0.7847593582887701
CBP,CE,4-3-2,5,None,relu,0.4725735783576965,0.4725735783576965,0.7740641711229946,0.7727272727272727
CBP,CE,4-3-2,6,None,relu,0.4692204594612122,0.4692204594612122,0.7860962566844921,0.7860962566844921
CBP,CE,4-3-2,7,None,relu,0.4665485620498657,0.4665485620498657,0.7860962566844921,0.7860962566844921
CBP,CE,4-3-2,8,None,relu,0.4723770916461945,0.4723770916461945,0.7754010695187166,0.7713903743315508
CBP,CE,4-3-2,9,None,relu,0.4698149263858795,0.4698149263858795,0.7860962566844921,0.7860962566844921
BP,CE,4-5-2,0,None,relu,0.4719660878181458,0.4719660878181458,0.7754010695187166,0.7754010695187166
BP,CE,4-5-2,1,None,relu,0.4724726974964142,0.4724726974964142,0.7767379679144385,0.7713903743315508
BP,CE,4-5-2,2,None,relu,0.4736274182796478,0.4736274182796478,0.7740641711229946,0.7727272727272727
BP,CE,4-5-2,3,None,relu,0.4721823334693909,0.4721823334693909,0.7740641711229946,0.7713903743315508
BP,CE,4-5-2,4,None,relu,0.4710541665554047,0.4710541665554047,0.7780748663101604,0.7754010695187166
BP,CE,4-5-2,5,None,relu,0.4724689722061157,0.4724689722061157,0.7754010695187166,0.7727272727272727
BP,CE,4-5-2,6,None,relu,0.4727992117404938,0.4727992117404938,0.7740641711229946,0.7727272727272727
