method,seed,train time (s),time for 77% (s),time for 78% (s)
BP,0,16.68,16.68,16.68
BP,1,16.66,9.47,16.66
BP,2,16.76,9.41,16.0
BP,3,16.83,16.83,16.83
BP,4,17.05,5.55,17.05
BP,5,16.61,5.08,16.61
BP,6,16.66,7.56,15.39
BP,7,16.58,0.08,16.58
BP,8,16.72,16.72,16.72
BP,9,16.54,7.36,16.54
CBP,0,16.67,7.81,16.67
CBP,1,16.66,6.26,14.5
CBP,2,16.75,8.63,16.75
CBP,3,16.73,2.53,16.73
CBP,4,16.69,6.0,14.14
CBP,5,16.87,2.6,16.87
CBP,6,16.71,6.01,14.16
CBP,7,16.62,6.88,15.11
CBP,8,16.85,8.0,16.85
CBP,9,16.85,2.61,11.7
BP,0,16.85,9.67,16.85
BP,1,16.78,8.77,16.78
BP,2,16.92,7.65,16.92
BP,3,16.72,6.77,16.72
BP,4,16.64,8.87,16.64
BP,5,16.96,5.59,16.96
BP,6,16.72,8.87,16.72
BP,7,16.6,7.45,16.6
BP,8,16.68,8.5,16.68
BP,9,16.74,6.48,16.74
CBP,0,16.73,5.93,16.73
CBP,1,16.72,5.3,12.38
CBP,2,16.87,2.71,16.87
CBP,3,16.9,5.81,13.02
CBP,4,16.87,7.0,13.89
CBP,5,16.73,2.39,13.05
CBP,6,16.78,5.9,16.78
CBP,7,16.77,4.51,11.68
CBP,8,16.8,5.43,10.75
CBP,9,17.03,2.79,17.03
BP,0,17.02,7.93,15.47
BP,1,16.73,8.16,16.73
BP,2,16.81,7.94,16.81
BP,3,16.86,10.09,16.86
BP,4,16.8,7.32,16.8
BP,5,16.93,4.29,16.93
BP,6,16.99,6.28,16.99
BP,7,17.02,0.03,17.02
BP,8,16.84,12.68,16.84
BP,9,17.07,6.27,17.07
CBP,0,19.26,5.51,13.59
CBP,1,16.86,5.24,10.44
CBP,2,16.89,2.74,10.06
CBP,3,17.22,5.52,13.43
CBP,4,16.84,4.58,12.57
CBP,5,17.12,0.22,10.7
CBP,6,17.03,4.27,11.53
CBP,7,16.87,1.22,11.18
CBP,8,16.99,1.13,11.95
CBP,9,16.91,5.47,10.49
BP,0,17.27,8.31,17.27
BP,1,17.05,5.7,17.05
BP,2,16.84,6.94,16.84
BP,3,17.01,6.79,17.01
BP,4,16.95,6.22,14.74
BP,5,17.05,4.96,17.05
BP,6,17.16,6.62,15.52
BP,7,17.0,6.47,17.0
BP,8,17.19,5.08,12.8
BP,9,17.07,7.6,16.33
CBP,0,17.06,4.78,7.87
CBP,1,16.99,4.62,9.2
CBP,2,16.99,4.36,10.28
CBP,3,17.22,6.06,13.04
CBP,4,16.93,4.98,10.25
CBP,5,17.14,1.12,6.59
CBP,6,16.98,3.71,11.93
CBP,7,16.87,4.95,10.43
CBP,8,17.24,4.07,11.43
CBP,9,17.05,3.85,10.14
BP,0,17.43,6.09,17.43
BP,1,17.04,5.91,16.02
BP,2,17.06,4.66,14.13
BP,3,17.26,6.25,17.26
BP,4,17.16,7.24,16.93
BP,5,17.32,3.57,17.32
BP,6,17.09,5.19,17.09
BP,7,17.28,5.89,17.28
BP,8,17.22,5.4,17.22
BP,9,16.95,5.66,16.95
CBP,0,17.15,4.21,10.35
CBP,1,17.2,6.22,10.87
CBP,2,16.97,4.5,10.25
CBP,3,17.3,4.76,10.68
CBP,4,17.45,4.79,9.24
CBP,5,17.24,0.34,8.91
CBP,6,17.08,1.22,10.17
CBP,7,17.57,1.27,1.72
CBP,8,17.09,3.65,9.65
CBP,9,17.28,4.55,10.73
BP,0,17.69,7.35,17.69
BP,1,17.13,5.05,17.13
BP,2,17.35,5.32,17.35
BP,3,17.4,8.59,17.4
BP,4,17.1,5.52,15.57
BP,5,17.3,5.09,17.3
BP,6,17.21,6.08,17.21
BP,7,17.4,0.02,17.4
BP,8,17.36,6.22,17.36
BP,9,17.33,6.66,17.33
CBP,0,17.23,1.13,9.55
CBP,1,17.42,3.76,9.63
CBP,2,17.27,1.28,10.01
CBP,3,17.29,4.48,10.45
CBP,4,17.55,1.2,8.71
CBP,5,17.35,3.7,9.24
CBP,6,17.28,1.96,9.1
CBP,7,17.42,4.54,9.47
CBP,8,17.46,4.14,10.27
CBP,9,17.35,1.9,9.69
BP,0,17.55,7.38,17.55
BP,1,17.57,6.01,17.57
BP,2,17.3,6.2,17.3
BP,3,17.57,5.0,17.52
BP,4,17.14,4.61,17.14
BP,5,17.48,4.68,13.43
BP,6,17.28,6.62,17.28
BP,7,17.44,3.9,14.04
BP,8,17.47,7.11,17.47
BP,9,17.5,5.5,17.5
CBP,0,17.44,3.58,9.24
CBP,1,17.7,4.25,9.63
CBP,2,17.43,5.08,10.21
CBP,3,17.32,4.19,9.73
CBP,4,17.64,4.65,9.81
CBP,5,17.49,1.64,1.64
CBP,6,17.47,1.68,9.07
CBP,7,17.4,4.6,11.64
CBP,8,17.51,4.9,11.23
CBP,9,17.38,4.54,9.86
