method,loss_func,net,seed,init,act_func,train loss,train loss (last),train acc,train acc (last)
BP,CE,8-8-2,0,None,relu,0.0925905853509903,0.0925905853509903,0.9628040057224606,0.9628040057224606
BP,CE,8-8-2,1,None,relu,0.1013512685894966,0.1013512685894966,0.9628040057224606,0.96137339055794
BP,CE,8-8-2,2,None,relu,0.10057196766138077,0.10057196766138077,0.9628040057224606,0.9628040057224606
BP,CE,8-8-2,3,None,relu,0.09070143848657608,0.09070143848657608,0.9656652360515021,0.9656652360515021
BP,CE,8-8-2,4,None,relu,0.10294879227876663,0.10294879227876663,0.9628040057224606,0.9628040057224606
BP,CE,8-8-2,5,None,relu,0.09007136523723602,0.09007136523723602,0.9656652360515021,0.9656652360515021
BP,CE,8-8-2,6,None,relu,0.09156756848096848,0.09156756848096848,0.9656652360515021,0.9656652360515021
BP,CE,8-8-2,7,None,relu,0.09618344902992247,0.09618344902992247,0.9628040057224606,0.9628040057224606
BP,CE,8-8-2,8,None,relu,0.0995013192296028,0.0995013192296028,0.9628040057224606,0.9628040057224606
BP,CE,8-8-2,9,None,relu,0.10168900340795516,0.10168900340795516,0.9628040057224606,0.9628040057224606
CBP,CE,8-8-2,0,None,relu,0.10095351189374924,0.10095351189374924,0.9685264663805436,0.9628040057224606
CBP,CE,8-8-2,1,None,relu,0.10257620364427568,0.10257620364427568,0.9699570815450644,0.9599427753934192
CBP,CE,8-8-2,2,None,relu,0.1025119200348854,0.1025119200348854,0.9685264663805436,0.9599427753934192
CBP,CE,8-8-2,3,None,relu,0.10075526684522627,0.10075526684522627,0.9685264663805436,0.9599427753934192
CBP,CE,8-8-2,4,None,relu,0.10030029714107512,0.10030029714107512,0.9670958512160228,0.9628040057224606
CBP,CE,8-8-2,5,None,relu,0.10205752402544024,0.10205752402544024,0.9685264663805436,0.9599427753934192
CBP,CE,8-8-2,6,None,relu,0.10102085769176483,0.10102085769176483,0.9685264663805436,0.9628040057224606
CBP,CE,8-8-2,7,None,relu,0.10212820023298264,0.10212820023298264,0.9699570815450644,0.9599427753934192
CBP,CE,8-8-2,8,None,relu,0.10277848690748216,0.10277848690748216,0.9699570815450644,0.9599427753934192
CBP,CE,8-8-2,9,None,relu,0.1060616597533226,0.1060616597533226,0.9699570815450644,0.9599427753934192
BP,CE,8-11-2,0,None,relu,0.09714409708976746,0.09714409708976746,0.9628040057224606,0.9628040057224606
BP,CE,8-11-2,1,None,relu,0.09241321682929993,0.09241321682929993,0.9642346208869814,0.9628040057224606
BP,CE,8-11-2,2,None,relu,0.09778384119272232,0.09778384119272232,0.9628040057224606,0.9628040057224606
BP,CE,8-11-2,3,None,relu,0.09435191750526427,0.09435191750526427,0.9628040057224606,0.9628040057224606
BP,CE,8-11-2,4,None,relu,0.09738203883171084,0.09738203883171084,0.9628040057224606,0.9628040057224606
BP,CE,8-11-2,5,None,relu,0.10178670287132263,0.10178670287132263,0.9628040057224606,0.9628040057224606
BP,CE,8-11-2,6,None,relu,0.0940035805106163,0.0940035805106163,0.9628040057224606,0.9628040057224606
BP,CE,8-11-2,7,None,relu,0.09367948025465013,0.09367948025465013,0.9642346208869814,0.9628040057224606
BP,CE,8-11-2,8,None,relu,0.09363177418708801,0.09363177418708801,0.9628040057224606,0.9628040057224606
BP,CE,8-11-2,9,None,relu,0.1015673130750656,0.1015673130750656,0.9628040057224606,0.9628040057224606
CBP,CE,8-11-2,0,None,relu,0.10269873589277267,0.10269873589277267,0.9685264663805436,0.9585121602288984
