method,seed,train time (s),time for 96% (s),time for 97% (s)
BP,0,16.58,7.36,16.58
BP,1,16.44,5.81,16.44
BP,2,16.29,12.48,16.29
BP,3,16.24,1.98,16.24
BP,4,16.14,14.26,16.14
BP,5,16.3,6.05,16.3
BP,6,16.4,7.82,16.4
BP,7,16.37,9.84,16.37
BP,8,16.1,9.81,16.1
BP,9,15.45,10.37,15.45
CBP,0,15.56,0.54,15.56
CBP,1,15.71,0.3,15.71
CBP,2,16.38,1.03,16.38
CBP,3,16.56,0.52,16.56
CBP,4,16.54,0.48,16.54
CBP,5,15.58,0.34,15.58
CBP,6,15.66,0.42,15.66
CBP,7,16.44,0.93,16.44
CBP,8,16.33,0.41,16.33
CBP,9,16.51,0.55,16.51
BP,0,15.74,10.9,15.74
BP,1,16.46,5.61,16.46
BP,2,16.33,11.44,16.33
BP,3,15.77,6.62,15.77
BP,4,16.72,2.01,16.72
BP,5,16.38,12.0,16.38
BP,6,15.58,3.85,15.58
BP,7,16.48,8.1,16.48
BP,8,16.47,6.33,16.47
BP,9,15.72,11.45,15.72
CBP,0,16.55,1.09,16.55
CBP,1,16.4,0.25,16.4
CBP,2,15.67,0.49,15.67
CBP,3,16.48,2.47,16.48
CBP,4,15.63,0.43,15.63
CBP,5,15.68,1.77,15.68
CBP,6,16.81,1.32,16.81
CBP,7,15.82,0.51,15.82
CBP,8,16.5,0.95,16.5
CBP,9,15.59,0.43,15.59
BP,0,15.93,11.32,15.93
BP,1,16.69,6.76,16.69
BP,2,15.9,4.44,15.9
BP,3,16.66,7.2,16.66
BP,4,15.76,9.91,15.76
BP,5,16.85,9.83,16.85
BP,6,15.77,4.59,15.77
BP,7,16.66,11.52,16.66
BP,8,15.73,5.05,15.73
BP,9,16.72,7.24,16.72
CBP,0,15.87,0.36,15.87
CBP,1,16.69,0.24,16.69
CBP,2,15.89,0.34,15.89
CBP,3,16.68,2.53,16.68
CBP,4,15.75,0.45,15.75
CBP,5,16.89,1.3,16.89
CBP,6,15.82,1.73,15.82
CBP,7,16.79,1.33,16.79
CBP,8,15.97,0.54,15.97
CBP,9,16.46,1.39,16.46
BP,0,16.26,11.95,16.26
BP,1,17.1,6.15,17.1
BP,2,15.83,3.13,15.83
BP,3,16.81,1.9,16.81
BP,4,16.04,11.38,16.04
BP,5,17.17,7.07,17.17
BP,6,15.86,4.57,15.86
BP,7,16.79,4.6,16.79
BP,8,15.99,12.66,15.99
BP,9,16.93,4.91,16.93
CBP,0,15.92,0.43,8.29
CBP,1,16.74,0.49,16.74
CBP,2,16.13,0.41,16.13
CBP,3,16.78,0.4,16.78
CBP,4,16.03,0.34,16.03
CBP,5,16.83,0.46,16.83
CBP,6,16.01,0.26,13.06
CBP,7,16.84,0.53,16.84
CBP,8,15.9,0.59,15.9
CBP,9,16.18,0.13,16.18
BP,0,16.07,11.2,16.07
BP,1,15.8,7.35,15.8
BP,2,16.79,7.78,16.79
BP,3,16.19,1.38,16.19
BP,4,16.24,4.03,16.24
BP,5,16.9,6.43,16.9
BP,6,16.32,4.79,16.32
BP,7,16.47,9.03,16.47
BP,8,17.02,6.92,17.02
BP,9,16.06,0.02,16.06
CBP,0,16.15,0.63,16.15
CBP,1,17.04,1.23,17.04
CBP,2,16.08,0.42,8.12
CBP,3,15.89,0.39,13.29
CBP,4,16.96,1.36,16.96
CBP,5,16.12,0.29,16.12
CBP,6,16.19,0.56,14.65
CBP,7,16.15,1.49,16.15
CBP,8,16.02,0.43,16.02
CBP,9,15.94,0.64,15.94
BP,0,16.48,8.73,16.48
BP,1,16.65,6.63,16.65
BP,2,16.36,3.13,16.36
BP,3,16.19,8.78,16.19
BP,4,16.26,11.46,16.26
BP,5,16.48,4.54,16.48
BP,6,16.36,4.72,16.36
BP,7,16.27,12.98,16.27
BP,8,16.44,8.89,16.44
BP,9,16.4,7.95,16.4
CBP,0,16.19,1.2,4.59
CBP,1,16.21,1.13,16.21
CBP,2,16.14,1.33,16.14
CBP,3,16.35,1.24,4.79
CBP,4,16.36,1.4,5.67
CBP,5,16.37,2.69,16.37
CBP,6,16.17,1.34,13.67
CBP,7,16.35,2.78,8.13
CBP,8,16.29,1.51,16.29
CBP,9,16.16,1.35,16.16
BP,0,16.44,4.51,16.44
BP,1,16.29,7.49,16.29
BP,2,16.46,6.99,16.46
BP,3,16.44,2.66,16.44
BP,4,16.29,9.37,16.29
BP,5,16.37,1.89,16.37
BP,6,16.36,5.26,16.36
BP,7,16.48,9.49,16.48
BP,8,16.23,6.65,16.23
BP,9,16.49,4.26,16.49
CBP,0,16.38,1.82,16.38
CBP,1,16.24,0.26,14.55
CBP,2,16.37,1.5,8.12
CBP,3,16.59,0.25,16.59
CBP,4,16.36,1.59,5.35
CBP,5,16.19,0.21,16.19
CBP,6,16.39,1.49,4.71
CBP,7,16.48,1.56,16.48
CBP,8,16.18,0.43,11.14
CBP,9,16.41,1.53,5.31
