method,loss_func,net,seed,init,act_func,train loss,train loss (last),train acc,train acc (last)
BP,CE,64-63-10,0,None,relu,0.10385065525770187,0.10385065525770187,0.9810795770728992,0.9810795770728992
BP,CE,64-63-10,1,None,relu,0.10774944722652437,0.10774944722652437,0.9755147468002224,0.9755147468002224
BP,CE,64-63-10,2,None,relu,0.1084134578704834,0.1084134578704834,0.9760712298274904,0.9760712298274904
BP,CE,64-63-10,3,None,relu,0.1049879640340805,0.1049879640340805,0.9771841958820257,0.9771841958820257
BP,CE,64-63-10,4,None,relu,0.10654564201831818,0.10654564201831818,0.9794101279910964,0.9794101279910964
BP,CE,64-63-10,5,None,relu,0.10546799749135972,0.10546799749135972,0.9782971619365608,0.9782971619365608
BP,CE,64-63-10,6,None,relu,0.10269281268119812,0.10269281268119812,0.9816360601001668,0.9816360601001668
BP,CE,64-63-10,7,None,relu,0.10247968882322313,0.10247968882322313,0.9810795770728992,0.9810795770728992
BP,CE,64-63-10,8,None,relu,0.10441157966852188,0.10441157966852188,0.9794101279910964,0.9794101279910964
BP,CE,64-63-10,9,None,relu,0.10591593384742737,0.10591593384742737,0.9771841958820257,0.9771841958820257
CBP,CE,64-63-10,0,None,relu,0.05227255821228026,0.05227255821228026,0.986644407345576,0.986644407345576
CBP,CE,64-63-10,1,None,relu,0.06558451056480408,0.06558451056480408,0.9877573734001112,0.9877573734001112
CBP,CE,64-63-10,2,None,relu,0.0607033334672451,0.0607033334672451,0.9872008903728436,0.9872008903728436
CBP,CE,64-63-10,3,None,relu,0.06466539204120636,0.06466539204120636,0.9872008903728436,0.9872008903728436
CBP,CE,64-63-10,4,None,relu,0.04729044437408447,0.04729044437408447,0.9910962715637172,0.9910962715637172
CBP,CE,64-63-10,5,None,relu,0.05212796851992607,0.05212796851992607,0.9905397885364496,0.9905397885364496
CBP,CE,64-63-10,6,None,relu,0.06068825721740723,0.06068825721740723,0.989983305509182,0.989983305509182
CBP,CE,64-63-10,7,None,relu,0.05251075699925424,0.05251075699925424,0.989983305509182,0.989983305509182
CBP,CE,64-63-10,8,None,relu,0.048445675522089005,0.048445675522089005,0.991652754590985,0.991652754590985
CBP,CE,64-63-10,9,None,relu,0.05034727603197098,0.05034727603197098,0.9910962715637172,0.9910962715637172
BP,CE,64-85-10,0,None,relu,0.10394348204135896,0.10394348204135896,0.9788536449638288,0.9788536449638288
BP,CE,64-85-10,1,None,relu,0.10241112112998962,0.10241112112998962,0.9794101279910964,0.9794101279910964
BP,CE,64-85-10,2,None,relu,0.10488639771938324,0.10488639771938324,0.9777406789092932,0.9777406789092932
BP,CE,64-85-10,3,None,relu,0.10136128962039948,0.10136128962039948,0.9794101279910964,0.9794101279910964
BP,CE,64-85-10,4,None,relu,0.1012388914823532,0.1012388914823532,0.9805230940456316,0.9805230940456316
BP,CE,64-85-10,5,None,relu,0.10528580099344254,0.10528580099344254,0.9771841958820257,0.9771841958820257
BP,CE,64-85-10,6,None,relu,0.1032828614115715,0.1032828614115715,0.9794101279910964,0.9794101279910964
BP,CE,64-85-10,7,None,relu,0.1027638465166092,0.1027638465166092,0.9821925431274346,0.9821925431274346
BP,CE,64-85-10,8,None,relu,0.10320238023996353,0.10320238023996353,0.9788536449638288,0.9788536449638288
BP,CE,64-85-10,9,None,relu,0.10180243849754332,0.10180243849754332,0.9788536449638288,0.9788536449638288
CBP,CE,64-85-10,0,None,relu,0.05134275183081627,0.05134275183081627,0.9888703394546466,0.9888703394546466
CBP,CE,64-85-10,1,None,relu,0.0526486337184906,0.0526486337184906,0.9905397885364496,0.9905397885364496
CBP,CE,64-85-10,2,None,relu,0.0490775927901268,0.0490775927901268,0.9927657206455204,0.9927657206455204
CBP,CE,64-85-10,3,None,relu,0.037943191826343536,0.037943191826343536,0.9922092376182526,0.9922092376182526
CBP,CE,64-85-10,4,None,relu,0.0666767805814743,0.0666767805814743,0.9894268224819144,0.9894268224819144
CBP,CE,64-85-10,5,None,relu,0.06407985836267471,0.06407985836267471,0.9894268224819144,0.9894268224819144
CBP,CE,64-85-10,6,None,relu,0.045637018978595734,0.045637018978595734,0.9927657206455204,0.9927657206455204
CBP,CE,64-85-10,7,None,relu,0.06307417154312134,0.06307417154312134,0.989983305509182,0.989983305509182
CBP,CE,64-85-10,8,None,relu,0.04899836331605911,0.04899836331605911,0.9910962715637172,0.9910962715637172
CBP,CE,64-85-10,9,None,relu,0.04247448965907097,0.04247448965907097,0.993322203672788,0.993322203672788
