method,seed,train time (s),time for 96% (s),time for 98% (s)
BP,0,26.15,12.05,25.26
BP,1,24.19,12.28,24.19
BP,2,25.48,12.38,25.48
BP,3,24.24,12.31,24.24
BP,4,25.59,13.11,25.59
BP,5,24.2,11.61,24.2
BP,6,24.04,11.34,21.91
BP,7,25.55,11.74,25.28
BP,8,24.52,11.36,24.52
BP,9,25.48,12.2,25.48
CBP,0,24.36,10.44,18.39
CBP,1,24.47,10.64,18.44
CBP,2,26.06,10.86,19.77
CBP,3,24.55,11.43,19.01
CBP,4,25.91,10.2,18.82
CBP,5,24.63,8.22,16.59
CBP,6,26.08,9.58,15.24
CBP,7,24.47,7.49,13.32
CBP,8,24.59,10.27,14.25
CBP,9,26.04,10.83,16.67
BP,0,24.91,12.97,24.91
BP,1,24.73,11.39,24.73
BP,2,26.06,12.1,26.06
BP,3,24.49,12.17,24.49
BP,4,24.62,12.12,23.58
BP,5,26.25,11.47,26.25
BP,6,24.58,9.73,24.58
BP,7,24.46,11.32,23.59
BP,8,24.67,11.19,24.67
BP,9,26.16,13.42,26.16
CBP,0,24.88,8.75,18.31
CBP,1,24.71,10.4,16.71
CBP,2,26.38,9.3,15.01
CBP,3,25.18,7.69,14.59
CBP,4,25.02,8.21,17.42
CBP,5,24.97,10.76,17.09
CBP,6,26.33,10.19,16.23
CBP,7,24.8,9.16,17.16
CBP,8,25.28,9.7,14.21
CBP,9,25.13,8.9,12.32
BP,0,26.49,11.18,26.49
BP,1,25.03,11.58,25.03
BP,2,24.83,12.06,24.83
BP,3,24.84,11.62,23.71
BP,4,24.76,11.89,24.64
BP,5,26.51,10.85,26.51
BP,6,24.87,9.3,24.87
BP,7,25.05,10.5,25.05
BP,8,24.9,11.33,24.9
BP,9,25.16,10.78,24.53
CBP,0,26.67,8.88,14.59
CBP,1,25.27,9.1,15.06
CBP,2,25.81,8.62,13.76
CBP,3,25.34,10.87,15.05
CBP,4,25.43,11.11,19.19
CBP,5,25.52,10.86,17.82
CBP,6,25.51,10.0,16.02
CBP,7,26.93,10.52,15.11
CBP,8,25.53,8.09,13.21
CBP,9,25.3,9.28,18.21
BP,0,25.43,11.52,25.43
BP,1,25.4,11.07,24.95
BP,2,25.31,11.35,24.62
BP,3,25.05,11.65,25.05
BP,4,25.08,12.15,25.08
BP,5,25.45,11.45,25.06
BP,6,25.41,11.46,25.41
BP,7,25.48,10.64,23.0
BP,8,26.68,11.68,26.68
BP,9,25.1,10.48,22.95
CBP,0,25.76,8.65,15.25
CBP,1,25.93,8.54,15.7
CBP,2,25.59,7.95,13.73
CBP,3,25.68,8.46,15.6
CBP,4,25.65,7.95,14.88
CBP,5,25.99,7.45,13.13
CBP,6,25.7,9.06,15.04
CBP,7,25.64,7.21,12.73
CBP,8,25.81,7.96,13.92
CBP,9,25.8,8.65,14.74
BP,0,27.16,13.16,23.36
BP,1,26.67,11.65,24.52
BP,2,26.65,11.46,25.19
BP,3,26.63,12.06,25.6
BP,4,26.87,11.96,26.87
BP,5,26.46,10.04,25.58
BP,6,26.48,9.33,23.17
BP,7,26.62,12.43,26.2
BP,8,26.61,9.71,26.61
BP,9,26.77,10.21,24.71
CBP,0,27.27,11.17,18.51
CBP,1,25.71,8.89,15.95
CBP,2,27.11,10.63,17.96
CBP,3,27.72,10.39,14.21
CBP,4,27.39,9.63,14.41
CBP,5,27.18,9.46,13.95
CBP,6,27.14,9.8,14.96
CBP,7,27.43,8.48,15.05
CBP,8,27.38,7.74,14.22
CBP,9,27.27,9.65,15.14
BP,0,27.14,12.18,27.14
BP,1,27.21,10.73,27.21
BP,2,27.41,10.21,25.33
BP,3,25.51,10.23,24.26
BP,4,27.06,12.42,26.92
BP,5,27.14,11.76,26.81
BP,6,27.33,11.9,25.72
BP,7,26.97,11.63,25.55
BP,8,27.0,10.01,26.69
BP,9,26.98,10.31,24.01
CBP,0,26.26,9.18,11.74
CBP,1,28.17,9.61,13.45
CBP,2,27.78,8.29,14.19
CBP,3,28.01,7.95,15.15
CBP,4,28.18,8.56,14.29
CBP,5,28.39,10.2,15.59
CBP,6,26.15,7.79,14.64
CBP,7,28.25,10.9,18.96
CBP,8,28.01,10.95,14.49
CBP,9,28.36,8.7,17.04
BP,0,27.55,9.41,27.55
BP,1,25.83,9.38,24.59
BP,2,27.39,11.32,25.99
BP,3,27.55,12.1,25.79
BP,4,27.37,12.53,26.57
BP,5,27.28,8.63,24.85
BP,6,25.65,9.27,24.37
BP,7,27.4,12.02,25.22
BP,8,27.82,9.89,26.48
BP,9,27.32,9.2,22.57
CBP,0,26.81,9.18,15.93
CBP,1,28.4,8.38,15.45
CBP,2,28.69,8.24,14.54
CBP,3,27.5,8.17,14.41
CBP,4,28.63,9.83,15.18
CBP,5,28.31,8.29,14.45
CBP,6,28.88,9.67,16.99
CBP,7,26.83,8.04,12.46
CBP,8,28.41,10.46,14.5
CBP,9,28.77,8.55,15.46
