method,loss_func,net,seed,init,act_func,train loss,train loss (last),train acc,train acc (last)
BP,CE,4-3-3,0,None,relu,1.0986111164093018,1.0986127853393557,0.3333333333333333,0.3333333333333333
BP,CE,4-3-3,1,None,relu,0.054449182003736496,0.054449182003736496,0.98,0.98
BP,CE,4-3-3,2,None,relu,0.040193356573581696,0.040193356573581696,0.9866666666666668,0.9866666666666668
BP,CE,4-3-3,3,None,relu,0.054194871336221695,0.054194871336221695,0.98,0.98
BP,CE,4-3-3,4,None,relu,0.04010602831840515,0.04010602831840515,0.9866666666666668,0.9866666666666668
BP,CE,4-3-3,5,None,relu,0.040157500654459,0.040157500654459,0.9866666666666668,0.9866666666666668
BP,CE,4-3-3,6,None,relu,0.04228324815630913,0.04228324815630913,0.9866666666666668,0.9866666666666668
BP,CE,4-3-3,7,None,relu,0.05408364161849022,0.05408364161849022,0.98,0.98
BP,CE,4-3-3,8,None,relu,0.04354635998606682,0.04354635998606682,0.9866666666666668,0.9866666666666668
BP,CE,4-3-3,9,None,relu,0.0406857505440712,0.0406857505440712,0.9866666666666668,0.9866666666666668
CBP,CE,4-3-3,0,None,relu,0.04108558967709541,0.04108558967709541,0.9866666666666668,0.9866666666666668
CBP,CE,4-3-3,1,None,relu,0.040544576942920685,0.040544576942920685,0.9866666666666668,0.9866666666666668
CBP,CE,4-3-3,2,None,relu,0.04154331237077713,0.04154331237077713,0.9866666666666668,0.9866666666666668
CBP,CE,4-3-3,3,None,relu,0.04490413516759872,0.04490413516759872,0.9866666666666668,0.9866666666666668
CBP,CE,4-3-3,4,None,relu,0.043221313506364815,0.043221313506364815,0.9866666666666668,0.9866666666666668
CBP,CE,4-3-3,5,None,relu,0.04070243984460832,0.04070243984460832,0.9866666666666668,0.9866666666666668
CBP,CE,4-3-3,6,None,relu,0.04367029666900635,0.04367320239543915,0.9866666666666668,0.9866666666666668
CBP,CE,4-3-3,7,None,relu,0.040895316749811166,0.040895316749811166,0.9866666666666668,0.9866666666666668
CBP,CE,4-3-3,8,None,relu,0.04080398753285408,0.04080398753285408,0.9866666666666668,0.9866666666666668
CBP,CE,4-3-3,9,None,relu,0.04486086592078209,0.04486086592078209,0.9866666666666668,0.9866666666666668
BP,CE,4-5-3,0,None,relu,0.041537869721651084,0.041537869721651084,0.9866666666666668,0.9866666666666668
BP,CE,4-5-3,1,None,relu,1.0986112356185913,1.0986127853393557,0.3333333333333333,0.3333333333333333
BP,CE,4-5-3,2,None,relu,0.04018677398562431,0.04018677398562431,0.9866666666666668,0.9866666666666668
BP,CE,4-5-3,3,None,relu,0.040238775312900536,0.040238775312900536,0.9866666666666668,0.9866666666666668
BP,CE,4-5-3,4,None,relu,0.040288589894771576,0.040288589894771576,0.9866666666666668,0.9866666666666668
BP,CE,4-5-3,5,None,relu,0.040309179574251175,0.040309179574251175,0.9866666666666668,0.9866666666666668
BP,CE,4-5-3,6,None,relu,0.04016966000199318,0.04016966000199318,0.9866666666666668,0.9866666666666668
BP,CE,4-5-3,7,None,relu,0.04022904112935066,0.04022904112935066,0.9866666666666668,0.9866666666666668
BP,CE,4-5-3,8,None,relu,0.04013359546661377,0.04013359546661377,0.9866666666666668,0.9866666666666668
BP,CE,4-5-3,9,None,relu,0.040202848613262177,0.040202848613262177,0.9866666666666668,0.9866666666666668
CBP,CE,4-5-3,0,None,relu,0.040251612663269036,0.040478549897670746,0.9866666666666668,0.9866666666666668
CBP,CE,4-5-3,1,None,relu,0.02863278053700924,0.02863278053700924,0.9933333333333332,0.9933333333333332
CBP,CE,4-5-3,2,None,relu,0.033591639250516885,0.033591639250516885,0.9866666666666668,0.9866666666666668
CBP,CE,4-5-3,3,None,relu,0.027702080085873604,0.027702080085873604,0.9933333333333332,0.9933333333333332
CBP,CE,4-5-3,4,None,relu,0.029054606333374974,0.029054606333374974,0.9933333333333332,0.9933333333333332
CBP,CE,4-5-3,5,None,relu,0.04116250574588776,0.04116250574588776,0.9866666666666668,0.9866666666666668
CBP,CE,4-5-3,6,None,relu,0.029663233086466782,0.029715789481997486,0.9933333333333332,0.9866666666666668
CBP,CE,4-5-3,7,None,relu,0.02420907467603684,0.02420907467603684,0.9933333333333332,0.9933333333333332
CBP,CE,4-5-3,8,None,relu,0.02785126306116581,0.02785126306116581,0.9933333333333332,0.9933333333333332
CBP,CE,4-5-3,9,None,relu,0.04200683534145355,0.04200683534145355,0.9866666666666668,0.9866666666666668
BP,CE,4-7-3,0,None,relu,0.04026409983634949,0.04026409983634949,0.9866666666666668,0.9866666666666668
BP,CE,4-7-3,1,None,relu,0.04018203541636467,0.04018203541636467,0.9866666666666668,0.9866666666666668
BP,CE,4-7-3,2,None,relu,0.040178317576646805,0.040178317576646805,0.9866666666666668,0.9866666666666668
BP,CE,4-7-3,3,None,relu,0.04011942073702812,0.04011942073702812,0.9866666666666668,0.9866666666666668
BP,CE,4-7-3,4,None,relu,0.04017316922545433,0.04017316922545433,0.9866666666666668,0.9866666666666668
BP,CE,4-7-3,5,None,relu,0.0406750962138176,0.0406750962138176,0.9866666666666668,0.9866666666666668
BP,CE,4-7-3,6,None,relu,0.040203675627708435,0.040203675627708435,0.9866666666666668,0.9866666666666668
BP,CE,4-7-3,7,None,relu,0.04020131379365921,0.04020131379365921,0.9866666666666668,0.9866666666666668
BP,CE,4-7-3,8,None,relu,0.040302980691194534,0.040302980691194534,0.9866666666666668,0.9866666666666668
BP,CE,4-7-3,9,None,relu,0.04009223729372025,0.04009223729372025,0.9866666666666668,0.9866666666666668
CBP,CE,4-7-3,0,None,relu,0.019330333918333054,0.019424472004175183,0.9933333333333332,0.9933333333333332
CBP,CE,4-7-3,1,None,relu,0.02567141130566597,0.025684500113129616,0.9933333333333332,0.9933333333333332
CBP,CE,4-7-3,2,None,relu,0.04538509249687195,0.04538509249687195,0.9866666666666668,0.9866666666666668
CBP,CE,4-7-3,3,None,relu,0.021551653742790226,0.021551653742790226,0.9933333333333332,0.9933333333333332
CBP,CE,4-7-3,4,None,relu,0.03293895721435547,0.03293895721435547,0.9933333333333332,0.9933333333333332
CBP,CE,4-7-3,5,None,relu,0.02375027351081372,0.02418738231062889,1.0,1.0
CBP,CE,4-7-3,6,None,relu,0.03118467703461647,0.03118467703461647,0.9933333333333332,0.9933333333333332
CBP,CE,4-7-3,7,None,relu,0.022879648953676224,0.02288055419921875,1.0,1.0
CBP,CE,4-7-3,8,None,relu,0.029587354511022568,0.029587354511022568,0.9866666666666668,0.9866666666666668
CBP,CE,4-7-3,9,None,relu,0.03208176046609878,0.03208176046609878,0.9866666666666668,0.9866666666666668
BP,CE,4-9-3,0,None,relu,0.04022622480988503,0.04022622480988503,0.9866666666666668,0.9866666666666668
BP,CE,4-9-3,1,None,relu,0.04018901661038399,0.04018901661038399,0.9866666666666668,0.9866666666666668
BP,CE,4-9-3,2,None,relu,0.04017286002635957,0.04017286002635957,0.9866666666666668,0.9866666666666668
BP,CE,4-9-3,3,None,relu,0.03999025747179985,0.039994552731513984,0.9866666666666668,0.9866666666666668
BP,CE,4-9-3,4,None,relu,0.040130551904439926,0.040130551904439926,0.9866666666666668,0.9866666666666668
BP,CE,4-9-3,5,None,relu,0.0401521772146225,0.0401521772146225,0.9866666666666668,0.9866666666666668
BP,CE,4-9-3,6,None,relu,0.040139418095350266,0.040139418095350266,0.9866666666666668,0.9866666666666668
BP,CE,4-9-3,7,None,relu,0.04064657539129257,0.04064657539129257,0.9866666666666668,0.9866666666666668
BP,CE,4-9-3,8,None,relu,0.03990842029452324,0.03990842029452324,0.9866666666666668,0.9866666666666668
BP,CE,4-9-3,9,None,relu,0.04014902561903,0.04014902561903,0.9866666666666668,0.9866666666666668
CBP,CE,4-9-3,0,None,relu,0.014494187198579313,0.014494187198579313,1.0,1.0
CBP,CE,4-9-3,1,None,relu,0.027578366920351986,0.027578366920351986,1.0,1.0
CBP,CE,4-9-3,2,None,relu,0.025672236457467086,0.025674397125840187,1.0,1.0
CBP,CE,4-9-3,3,None,relu,0.026264464482665062,0.026264464482665062,1.0,1.0
CBP,CE,4-9-3,4,None,relu,0.027826538309454918,0.027826538309454918,1.0,0.9933333333333332
CBP,CE,4-9-3,5,None,relu,0.03027804009616375,0.03027804009616375,0.9933333333333332,0.9933333333333332
CBP,CE,4-9-3,6,None,relu,0.026869786903262145,0.026869786903262145,1.0,0.9933333333333332
CBP,CE,4-9-3,7,None,relu,0.018372705206274983,0.018372705206274983,1.0,1.0
CBP,CE,4-9-3,8,None,relu,0.03936021029949188,0.03958657756447792,0.9866666666666668,0.98
CBP,CE,4-9-3,9,None,relu,0.017942281439900398,0.017942281439900398,1.0,1.0
BP,CE,4-11-3,0,None,relu,0.04013380035758018,0.04013403132557869,0.9866666666666668,0.9866666666666668
BP,CE,4-11-3,1,None,relu,0.04014216363430023,0.04014216363430023,0.9866666666666668,0.9866666666666668
BP,CE,4-11-3,2,None,relu,0.04000084474682808,0.04000261053442955,0.9866666666666668,0.9866666666666668
BP,CE,4-11-3,3,None,relu,0.04013502597808838,0.04013502597808838,0.9866666666666668,0.9866666666666668
BP,CE,4-11-3,4,None,relu,0.04018556326627731,0.04018556326627731,0.9866666666666668,0.9866666666666668
BP,CE,4-11-3,5,None,relu,0.04018542170524597,0.04018542170524597,0.9866666666666668,0.9866666666666668
BP,CE,4-11-3,6,None,relu,0.040211793035268784,0.040211793035268784,0.9866666666666668,0.9866666666666668
BP,CE,4-11-3,7,None,relu,0.04018015041947365,0.04018015041947365,0.9866666666666668,0.9866666666666668
BP,CE,4-11-3,8,None,relu,0.040092568844556815,0.040092568844556815,0.9866666666666668,0.9866666666666668
BP,CE,4-11-3,9,None,relu,0.04011803492903709,0.04011803492903709,0.9866666666666668,0.9866666666666668
CBP,CE,4-11-3,0,None,relu,0.02464914508163929,0.02464914508163929,1.0,1.0
CBP,CE,4-11-3,1,None,relu,0.01794044300913811,0.01794044300913811,1.0,1.0
CBP,CE,4-11-3,2,None,relu,0.01833884045481681,0.01833884045481681,1.0,1.0
CBP,CE,4-11-3,3,None,relu,0.02556486986577511,0.02556486986577511,0.9933333333333332,0.9933333333333332
CBP,CE,4-11-3,4,None,relu,0.021268850192427642,0.021280525252223008,0.9933333333333332,0.9933333333333332
CBP,CE,4-11-3,5,None,relu,0.0242813229560852,0.0242813229560852,1.0,1.0
CBP,CE,4-11-3,6,None,relu,0.012178128585219385,0.012178128585219385,1.0,1.0
CBP,CE,4-11-3,7,None,relu,0.017544860020279884,0.01754738576710224,1.0,1.0
CBP,CE,4-11-3,8,None,relu,0.02503492869436741,0.025060739368200302,1.0,1.0
CBP,CE,4-11-3,9,None,relu,0.02424696274101734,0.02424696274101734,1.0,1.0
BP,CE,4-13-3,0,None,relu,0.0401296466588974,0.0401296466588974,0.9866666666666668,0.9866666666666668
BP,CE,4-13-3,1,None,relu,0.04020000621676445,0.04020000621676445,0.9866666666666668,0.9866666666666668
BP,CE,4-13-3,2,None,relu,0.040140803903341286,0.040140803903341286,0.9866666666666668,0.9866666666666668
BP,CE,4-13-3,3,None,relu,0.039787393063306815,0.03978877514600754,0.9866666666666668,0.9866666666666668
BP,CE,4-13-3,4,None,relu,0.040209729224443436,0.040209729224443436,0.9866666666666668,0.9866666666666668
BP,CE,4-13-3,5,None,relu,0.040191199630498886,0.040191199630498886,0.9866666666666668,0.9866666666666668
BP,CE,4-13-3,6,None,relu,0.04031338915228844,0.04031338915228844,0.9866666666666668,0.9866666666666668
BP,CE,4-13-3,7,None,relu,0.04022500291466713,0.04022500291466713,0.9866666666666668,0.9866666666666668
BP,CE,4-13-3,8,None,relu,0.040217462927103036,0.040217462927103036,0.9866666666666668,0.9866666666666668
BP,CE,4-13-3,9,None,relu,0.03999479487538338,0.03999479487538338,0.9866666666666668,0.9866666666666668
CBP,CE,4-13-3,0,None,relu,0.01268235594034195,0.01268647238612175,1.0,1.0
CBP,CE,4-13-3,1,None,relu,0.023433467373251915,0.02352514490485192,0.9866666666666668,0.9866666666666668
CBP,CE,4-13-3,2,None,relu,0.017891466617584232,0.017891466617584232,0.9933333333333332,0.9933333333333332
CBP,CE,4-13-3,3,None,relu,0.10296418517827988,0.10296418517827988,0.9733333333333334,0.9733333333333334
CBP,CE,4-13-3,4,None,relu,0.021465346217155457,0.021465346217155457,0.9933333333333332,0.9933333333333332
CBP,CE,4-13-3,5,None,relu,0.02774401381611824,0.02774401381611824,1.0,1.0
CBP,CE,4-13-3,6,None,relu,0.02280603908002377,0.02280603908002377,1.0,1.0
CBP,CE,4-13-3,7,None,relu,0.01784885860979557,0.01784885860979557,0.9933333333333332,0.9933333333333332
CBP,CE,4-13-3,8,None,relu,0.032375823706388474,0.03262962400913238,0.9866666666666668,0.9866666666666668
CBP,CE,4-13-3,9,None,relu,0.014261835254728794,0.014261835254728794,1.0,1.0
BP,CE,4-15-3,0,None,relu,0.04017201438546181,0.04017201438546181,0.9866666666666668,0.9866666666666668
BP,CE,4-15-3,1,None,relu,0.03999689593911171,0.03999689593911171,0.9866666666666668,0.9866666666666668
BP,CE,4-15-3,2,None,relu,0.04012662172317505,0.04012662172317505,0.9866666666666668,0.9866666666666668
BP,CE,4-15-3,3,None,relu,0.04019689932465553,0.04019689932465553,0.9866666666666668,0.9866666666666668
BP,CE,4-15-3,4,None,relu,0.040120773017406464,0.040120773017406464,0.9866666666666668,0.9866666666666668
BP,CE,4-15-3,5,None,relu,0.040133628994226456,0.040133628994226456,0.9866666666666668,0.9866666666666668
BP,CE,4-15-3,6,None,relu,0.04017820954322815,0.04017820954322815,0.9866666666666668,0.9866666666666668
BP,CE,4-15-3,7,None,relu,0.03992723301053047,0.03992723301053047,0.9866666666666668,0.9866666666666668
BP,CE,4-15-3,8,None,relu,0.03972043842077255,0.03972043842077255,0.9866666666666668,0.9866666666666668
BP,CE,4-15-3,9,None,relu,0.04011517390608788,0.04011517390608788,0.9866666666666668,0.9866666666666668
CBP,CE,4-15-3,0,None,relu,0.018376458436250687,0.018376458436250687,1.0,0.9933333333333332
CBP,CE,4-15-3,1,None,relu,0.022544888779520992,0.022550394758582115,1.0,1.0
CBP,CE,4-15-3,2,None,relu,0.020711049437522888,0.020711049437522888,1.0,1.0
CBP,CE,4-15-3,3,None,relu,0.023119362071156502,0.02313339151442051,1.0,1.0
CBP,CE,4-15-3,4,None,relu,0.011412487365305424,0.011423221789300442,1.0,1.0
CBP,CE,4-15-3,5,None,relu,0.020138045772910118,0.020138045772910118,1.0,1.0
CBP,CE,4-15-3,6,None,relu,0.021250393241643902,0.021250393241643902,1.0,1.0
CBP,CE,4-15-3,7,None,relu,0.017355360090732574,0.017355360090732574,1.0,1.0
CBP,CE,4-15-3,8,None,relu,0.04329710826277733,0.04329710826277733,0.9866666666666668,0.9866666666666668
CBP,CE,4-15-3,9,None,relu,0.02164986543357373,0.02164986543357373,0.9933333333333332,0.9933333333333332
