method,seed,train time (s),time for 98% (s),time for 100% (s)
BP,0,7.32,7.32,7.32
BP,1,7.4,3.12,7.4
BP,2,7.37,0.69,7.37
BP,3,7.16,2.8,7.16
BP,4,7.04,0.71,7.04
BP,5,6.86,0.44,6.86
BP,6,6.88,1.13,6.88
BP,7,6.86,2.32,6.86
BP,8,6.88,2.39,6.88
BP,9,6.87,1.2,6.87
CBP,0,6.89,2.92,6.89
CBP,1,6.87,1.62,6.87
CBP,2,6.85,2.08,6.85
CBP,3,6.86,0.94,6.86
CBP,4,6.89,3.59,6.89
CBP,5,6.87,1.59,6.87
CBP,6,6.88,3.46,6.88
CBP,7,6.87,2.02,6.87
CBP,8,6.9,2.36,6.9
CBP,9,6.87,3.22,6.87
BP,0,7.18,0.91,7.18
BP,1,7.03,7.03,7.03
BP,2,7.07,1.27,7.07
BP,3,7.06,0.73,7.06
BP,4,7.05,1.07,7.05
BP,5,7.04,1.4,7.04
BP,6,7.1,0.29,7.1
BP,7,7.01,0.57,7.01
BP,8,7.07,0.35,7.07
BP,9,7.05,0.63,7.05
CBP,0,7.13,1.71,7.13
CBP,1,7.13,1.69,7.13
CBP,2,7.17,3.59,7.17
CBP,3,7.17,1.5,7.17
CBP,4,7.22,1.96,7.22
CBP,5,7.07,2.75,7.07
CBP,6,7.06,3.01,7.06
CBP,7,7.83,1.6,7.83
CBP,8,7.4,2.27,7.4
CBP,9,7.41,0.85,7.41
BP,0,7.31,0.75,7.31
BP,1,7.33,0.69,7.33
BP,2,7.34,0.53,7.34
BP,3,7.2,0.89,7.2
BP,4,7.26,0.64,7.26
BP,5,7.32,0.58,7.32
BP,6,7.16,0.61,7.16
BP,7,7.22,0.5,7.22
BP,8,7.21,1.04,7.21
BP,9,7.27,0.49,7.27
CBP,0,7.29,1.98,7.29
CBP,1,7.24,1.31,7.24
CBP,2,7.15,3.14,7.15
CBP,3,7.15,1.15,7.15
CBP,4,7.22,0.84,7.22
CBP,5,7.21,1.64,7.14
CBP,6,7.21,2.73,7.21
CBP,7,7.16,1.58,6.22
CBP,8,7.17,2.04,7.17
CBP,9,7.2,4.72,7.2
BP,0,7.21,0.39,7.21
BP,1,7.29,0.38,7.29
BP,2,7.28,0.63,7.28
BP,3,7.23,0.86,7.23
BP,4,7.34,0.47,7.34
BP,5,7.38,0.84,7.38
BP,6,7.35,0.37,7.35
BP,7,7.32,0.86,7.32
BP,8,7.31,0.72,7.31
BP,9,7.3,0.69,7.3
CBP,0,7.25,1.54,2.4
CBP,1,7.29,2.1,5.9
CBP,2,7.33,1.33,4.54
CBP,3,7.34,2.11,6.69
CBP,4,7.27,1.28,7.19
CBP,5,7.28,2.45,7.28
CBP,6,7.25,1.11,7.19
CBP,7,7.34,1.85,3.28
CBP,8,7.25,1.7,7.25
CBP,9,7.27,1.39,3.62
BP,0,7.34,1.24,7.34
BP,1,7.41,0.29,7.41
BP,2,7.35,0.55,7.35
BP,3,7.35,1.1,7.35
BP,4,7.32,0.8,7.32
BP,5,7.31,0.53,7.31
BP,6,7.28,0.45,7.28
BP,7,7.35,0.49,7.35
BP,8,7.31,0.49,7.31
BP,9,7.27,0.97,7.27
CBP,0,7.31,1.55,4.81
CBP,1,7.34,1.51,5.24
CBP,2,7.32,1.91,4.01
CBP,3,7.38,1.17,7.38
CBP,4,7.32,1.05,7.32
CBP,5,7.25,0.95,5.21
CBP,6,7.44,1.31,3.69
CBP,7,7.29,1.1,6.82
CBP,8,7.24,1.85,5.03
CBP,9,7.22,1.98,6.61
BP,0,7.18,0.92,7.18
BP,1,7.23,0.44,7.23
BP,2,7.45,0.58,7.45
BP,3,7.31,1.09,7.31
BP,4,7.45,0.46,7.45
BP,5,7.2,0.8,7.2
BP,6,7.21,0.52,7.21
BP,7,7.2,0.46,7.2
BP,8,7.29,0.8,7.29
BP,9,7.25,0.35,7.25
CBP,0,7.4,1.02,2.32
CBP,1,7.36,1.61,7.36
CBP,2,7.41,2.27,7.41
CBP,3,7.44,7.44,7.44
CBP,4,7.25,0.86,7.25
CBP,5,7.27,2.72,5.25
CBP,6,7.31,1.54,4.95
CBP,7,7.24,1.54,7.24
CBP,8,7.3,2.49,7.3
CBP,9,7.26,2.19,2.54
BP,0,7.25,0.54,7.25
BP,1,7.31,0.34,7.31
BP,2,7.27,0.29,7.27
BP,3,7.25,0.39,7.25
BP,4,7.33,1.0,7.33
BP,5,7.35,0.48,7.35
BP,6,7.36,0.33,7.36
BP,7,7.31,0.48,7.31
BP,8,7.41,0.3,7.41
BP,9,7.37,0.4,7.37
CBP,0,7.38,1.03,4.37
CBP,1,7.38,1.11,3.12
CBP,2,7.34,0.66,4.23
CBP,3,7.39,0.7,5.43
CBP,4,7.47,1.21,4.8
CBP,5,7.39,0.81,3.76
CBP,6,7.43,0.66,5.27
CBP,7,7.37,0.87,3.35
CBP,8,7.41,1.82,7.41
CBP,9,7.38,1.76,7.38
