method,loss_func,net,seed,init,act_func,train loss,train loss (last),train acc,train acc (last)
BP,CE,3-4-2,0,None,relu,0.49477365612983704,0.4947933554649353,0.7841890049977283,0.7841890049977283
BP,CE,3-4-2,1,None,relu,0.490420401096344,0.490420401096344,0.7846433439345752,0.7846433439345752
BP,CE,3-4-2,2,None,relu,0.4861585795879364,0.4861693382263184,0.7891867333030441,0.7891867333030441
BP,CE,3-4-2,3,None,relu,0.5107160806655884,0.5107160806655884,0.7832803271240345,0.7760109041344844
BP,CE,3-4-2,4,None,relu,0.4931688904762268,0.4931737184524536,0.7841890049977283,0.7841890049977283
BP,CE,3-4-2,5,None,relu,0.4929655194282532,0.4929695725440979,0.7841890049977283,0.7841890049977283
BP,CE,3-4-2,6,None,relu,0.4876362979412079,0.4876362979412079,0.7891867333030441,0.7891867333030441
BP,CE,3-4-2,7,None,relu,0.5009723305702211,0.5009723305702211,0.7832803271240345,0.7819173103134939
BP,CE,3-4-2,8,None,relu,0.5116010308265686,0.5116015672683716,0.7832803271240345,0.7832803271240345
BP,CE,3-4-2,9,None,relu,0.4931447207927704,0.4931511282920837,0.7841890049977283,0.7841890049977283
CBP,CE,3-4-2,0,None,relu,0.4853704869747162,0.4853704869747162,0.7891867333030441,0.7891867333030441
CBP,CE,3-4-2,1,None,relu,0.5167843103408813,0.5167892575263977,0.7841890049977283,0.7760109041344844
CBP,CE,3-4-2,2,None,relu,0.4861398339271546,0.4861398339271546,0.7891867333030441,0.7891867333030441
CBP,CE,3-4-2,3,None,relu,0.4900215268135071,0.4900215268135071,0.7891867333030441,0.7891867333030441
CBP,CE,3-4-2,4,None,relu,0.4891622066497803,0.4891655147075653,0.7891867333030441,0.7891867333030441
CBP,CE,3-4-2,5,None,relu,0.4918915629386902,0.4918915629386902,0.7832803271240345,0.7832803271240345
CBP,CE,3-4-2,6,None,relu,0.4901434183120728,0.4901434183120728,0.7891867333030441,0.7891867333030441
CBP,CE,3-4-2,7,None,relu,0.5168200731277466,0.5168283581733704,0.7773739209450251,0.7760109041344844
CBP,CE,3-4-2,8,None,relu,0.4858294725418091,0.4858308732509613,0.7891867333030441,0.7891867333030441
CBP,CE,3-4-2,9,None,relu,0.4854699671268463,0.4854699671268463,0.7891867333030441,0.7891867333030441
BP,CE,3-5-2,0,None,relu,0.4928721785545349,0.4928721785545349,0.7841890049977283,0.7841890049977283
BP,CE,3-5-2,1,None,relu,0.4941588640213013,0.494160145521164,0.7891867333030441,0.7891867333030441
BP,CE,3-5-2,2,None,relu,0.4941760003566742,0.4941760003566742,0.7819173103134939,0.7819173103134939
BP,CE,3-5-2,3,None,relu,0.4939014315605164,0.4939036965370178,0.7832803271240345,0.7819173103134939
BP,CE,3-5-2,4,None,relu,0.4892725050449371,0.4892728924751282,0.7905497501135847,0.7905497501135847
BP,CE,3-5-2,5,None,relu,0.4864375591278076,0.4864375591278076,0.7891867333030441,0.7891867333030441
BP,CE,3-5-2,6,None,relu,0.4920749068260193,0.4920749068260193,0.7841890049977283,0.7841890049977283
BP,CE,3-5-2,7,None,relu,0.4933130741119385,0.4933173656463623,0.7841890049977283,0.7841890049977283
BP,CE,3-5-2,8,None,relu,0.4871819019317627,0.4871819019317627,0.7891867333030441,0.7891867333030441
BP,CE,3-5-2,9,None,relu,0.4915615618228912,0.4915704429149628,0.7905497501135847,0.7905497501135847
CBP,CE,3-5-2,0,None,relu,0.4843947887420654,0.4844027161598206,0.7891867333030441,0.7891867333030441
CBP,CE,3-5-2,1,None,relu,0.4925378561019898,0.4925378561019898,0.7841890049977283,0.7782825988187188
CBP,CE,3-5-2,2,None,relu,0.4887818992137909,0.4887818992137909,0.7891867333030441,0.7891867333030441
CBP,CE,3-5-2,3,None,relu,0.4945369064807892,0.4945469796657562,0.7832803271240345,0.7782825988187188
CBP,CE,3-5-2,4,None,relu,0.5019495487213135,0.5019505023956299,0.7832803271240345,0.7782825988187188
CBP,CE,3-5-2,5,None,relu,0.4920051395893097,0.4920051395893097,0.7841890049977283,0.7841890049977283
CBP,CE,3-5-2,6,None,relu,0.4882881939411163,0.4882882833480835,0.7891867333030441,0.7891867333030441
CBP,CE,3-5-2,7,None,relu,0.484796792268753,0.4847984611988068,0.7891867333030441,0.7891867333030441
CBP,CE,3-5-2,8,None,relu,0.492691308259964,0.492691308259964,0.7841890049977283,0.7782825988187188
CBP,CE,3-5-2,9,None,relu,0.4895531535148621,0.4895531535148621,0.7891867333030441,0.7891867333030441
BP,CE,3-6-2,0,None,relu,0.5167838335037231,0.5167956948280334,0.7819173103134939,0.7760109041344844
BP,CE,3-6-2,1,None,relu,0.4931100904941559,0.4931196868419647,0.7841890049977283,0.7841890049977283
BP,CE,3-6-2,2,None,relu,0.4936227202415466,0.4936227202415466,0.7819173103134939,0.7819173103134939
BP,CE,3-6-2,3,None,relu,0.4933255016803742,0.4933345913887024,0.7832803271240345,0.7819173103134939
BP,CE,3-6-2,4,None,relu,0.4894120395183563,0.48941516876220703,0.7905497501135847,0.7905497501135847
BP,CE,3-6-2,5,None,relu,0.4930688440799713,0.4930735528469086,0.7841890049977283,0.7841890049977283
BP,CE,3-6-2,6,None,relu,0.495510071516037,0.4955118000507355,0.7819173103134939,0.7819173103134939
BP,CE,3-6-2,7,None,relu,0.4928573668003082,0.4928613007068634,0.7841890049977283,0.7841890049977283
BP,CE,3-6-2,8,None,relu,0.4914942979812622,0.4914942979812622,0.7891867333030441,0.7891867333030441
BP,CE,3-6-2,9,None,relu,0.4895716607570648,0.4895716607570648,0.7891867333030441,0.7891867333030441
CBP,CE,3-6-2,0,None,relu,0.4879734814167023,0.4879774749279022,0.7891867333030441,0.7891867333030441
CBP,CE,3-6-2,1,None,relu,0.4879871904850006,0.4879871904850006,0.7891867333030441,0.7891867333030441
CBP,CE,3-6-2,2,None,relu,0.4858180582523346,0.4858180582523346,0.7891867333030441,0.7891867333030441
CBP,CE,3-6-2,3,None,relu,0.485194593667984,0.485194593667984,0.7891867333030441,0.7891867333030441
CBP,CE,3-6-2,4,None,relu,0.4848487079143524,0.4848487079143524,0.7891867333030441,0.7891867333030441
CBP,CE,3-6-2,5,None,relu,0.4894839823246002,0.4894839823246002,0.7841890049977283,0.7841890049977283
CBP,CE,3-6-2,6,None,relu,0.4888749718666077,0.4888749718666077,0.7891867333030441,0.7891867333030441
CBP,CE,3-6-2,7,None,relu,0.4884253442287445,0.4884258806705475,0.7891867333030441,0.7891867333030441
CBP,CE,3-6-2,8,None,relu,0.485480785369873,0.485480785369873,0.7905497501135847,0.7891867333030441
CBP,CE,3-6-2,9,None,relu,0.4925753474235535,0.4925753474235535,0.7891867333030441,0.7832803271240345
BP,CE,3-7-2,0,None,relu,0.4937066435813904,0.4937066435813904,0.7819173103134939,0.7819173103134939
BP,CE,3-7-2,1,None,relu,0.4924313127994538,0.4924313127994538,0.7841890049977283,0.7841890049977283
BP,CE,3-7-2,2,None,relu,0.4946642220020294,0.4946698844432831,0.7832803271240345,0.7832803271240345
BP,CE,3-7-2,3,None,relu,0.490877628326416,0.490877628326416,0.7841890049977283,0.7841890049977283
BP,CE,3-7-2,4,None,relu,0.4917680323123932,0.4917680323123932,0.7891867333030441,0.7891867333030441
BP,CE,3-7-2,5,None,relu,0.4937491118907929,0.4937534630298615,0.7841890049977283,0.7841890049977283
BP,CE,3-7-2,6,None,relu,0.492819756269455,0.492819756269455,0.7891867333030441,0.7891867333030441
BP,CE,3-7-2,7,None,relu,0.4890659153461456,0.4890702366828919,0.7891867333030441,0.7891867333030441
BP,CE,3-7-2,8,None,relu,0.4941252171993256,0.4941252171993256,0.7841890049977283,0.7841890049977283
BP,CE,3-7-2,9,None,relu,0.4902874529361725,0.4902874529361725,0.7891867333030441,0.7891867333030441
CBP,CE,3-7-2,0,None,relu,0.4851627051830292,0.485167145729065,0.7905497501135847,0.7891867333030441
CBP,CE,3-7-2,1,None,relu,0.4897004365921021,0.4897021651268005,0.7891867333030441,0.7891867333030441
CBP,CE,3-7-2,2,None,relu,0.4891306459903717,0.4891334772109986,0.7891867333030441,0.7891867333030441
CBP,CE,3-7-2,3,None,relu,0.4884832501411438,0.4884832501411438,0.7905497501135847,0.7905497501135847
CBP,CE,3-7-2,4,None,relu,0.484943151473999,0.4849449098110199,0.7891867333030441,0.7891867333030441
CBP,CE,3-7-2,5,None,relu,0.4880185723304749,0.4880185723304749,0.7905497501135847,0.7905497501135847
CBP,CE,3-7-2,6,None,relu,0.486898809671402,0.486898809671402,0.7891867333030441,0.7891867333030441
CBP,CE,3-7-2,7,None,relu,0.4890535473823547,0.4890535473823547,0.7891867333030441,0.7891867333030441
CBP,CE,3-7-2,8,None,relu,0.4843713939189911,0.4843724071979522,0.7891867333030441,0.7891867333030441
CBP,CE,3-7-2,9,None,relu,0.4852815270423889,0.4852815270423889,0.7891867333030441,0.7891867333030441
BP,CE,3-8-2,0,None,relu,0.4954662621021271,0.4954680502414704,0.7841890049977283,0.7841890049977283
BP,CE,3-8-2,1,None,relu,0.4932825863361359,0.4932879507541657,0.7841890049977283,0.7841890049977283
BP,CE,3-8-2,2,None,relu,0.4935801327228546,0.4935855269432068,0.7891867333030441,0.7891867333030441
BP,CE,3-8-2,3,None,relu,0.4927985668182373,0.4928057789802551,0.7841890049977283,0.7841890049977283
BP,CE,3-8-2,4,None,relu,0.4917343854904175,0.4917343854904175,0.7891867333030441,0.7891867333030441
BP,CE,3-8-2,5,None,relu,0.4850840270519257,0.4850840270519257,0.7891867333030441,0.7891867333030441
BP,CE,3-8-2,6,None,relu,0.4973605275154114,0.4973605275154114,0.7832803271240345,0.7782825988187188
BP,CE,3-8-2,7,None,relu,0.4866759181022644,0.4866759181022644,0.7891867333030441,0.7891867333030441
BP,CE,3-8-2,8,None,relu,0.4956551492214203,0.4956573843955994,0.7782825988187188,0.7782825988187188
BP,CE,3-8-2,9,None,relu,0.4886628091335297,0.4886628091335297,0.7891867333030441,0.7891867333030441
CBP,CE,3-8-2,0,None,relu,0.488501101732254,0.488501101732254,0.7905497501135847,0.7905497501135847
CBP,CE,3-8-2,1,None,relu,0.4881434142589569,0.4881438314914704,0.7891867333030441,0.7891867333030441
CBP,CE,3-8-2,2,None,relu,0.4854821860790253,0.4854821860790253,0.7905497501135847,0.7905497501135847
CBP,CE,3-8-2,3,None,relu,0.4884755909442902,0.4884769320487976,0.7905497501135847,0.7905497501135847
CBP,CE,3-8-2,4,None,relu,0.4898954927921295,0.489898681640625,0.7891867333030441,0.7891867333030441
CBP,CE,3-8-2,5,None,relu,0.4883275628089905,0.4883301556110382,0.7905497501135847,0.7905497501135847
CBP,CE,3-8-2,6,None,relu,0.4855938255786896,0.4856008589267729,0.7905497501135847,0.7891867333030441
CBP,CE,3-8-2,7,None,relu,0.4853911101818085,0.4853911101818085,0.7891867333030441,0.7891867333030441
CBP,CE,3-8-2,8,None,relu,0.4890812933444977,0.4890812933444977,0.7891867333030441,0.7891867333030441
CBP,CE,3-8-2,9,None,relu,0.4891749024391174,0.4891773462295532,0.7891867333030441,0.7891867333030441
BP,CE,3-9-2,0,None,relu,0.4970832765102386,0.4970894455909729,0.7782825988187188,0.7782825988187188
BP,CE,3-9-2,1,None,relu,0.516785204410553,0.5167965292930603,0.7760109041344844,0.7760109041344844
BP,CE,3-9-2,2,None,relu,0.4939595460891724,0.4939790070056915,0.7819173103134939,0.7819173103134939
BP,CE,3-9-2,3,None,relu,0.4919663071632385,0.4919690489768982,0.7841890049977283,0.7841890049977283
BP,CE,3-9-2,4,None,relu,0.4885658919811249,0.4885658919811249,0.7905497501135847,0.7905497501135847
BP,CE,3-9-2,5,None,relu,0.4865309596061706,0.4865309596061706,0.7905497501135847,0.7891867333030441
BP,CE,3-9-2,6,None,relu,0.4913398325443268,0.4913403391838074,0.7891867333030441,0.7891867333030441
BP,CE,3-9-2,7,None,relu,0.49368324875831604,0.49368324875831604,0.7841890049977283,0.7841890049977283
BP,CE,3-9-2,8,None,relu,0.4861870408058167,0.4861870408058167,0.7905497501135847,0.7905497501135847
BP,CE,3-9-2,9,None,relu,0.4935879409313202,0.4935895204544067,0.7841890049977283,0.7841890049977283
CBP,CE,3-9-2,0,None,relu,0.4878999590873718,0.4878999590873718,0.7905497501135847,0.7905497501135847
CBP,CE,3-9-2,1,None,relu,0.4895285665988922,0.4895285665988922,0.7891867333030441,0.7891867333030441
CBP,CE,3-9-2,2,None,relu,0.4887299835681915,0.488731861114502,0.7905497501135847,0.7905497501135847
CBP,CE,3-9-2,3,None,relu,0.4853537380695343,0.4853597581386566,0.7905497501135847,0.7891867333030441
CBP,CE,3-9-2,4,None,relu,0.4881867468357086,0.4881917834281922,0.7891867333030441,0.7891867333030441
CBP,CE,3-9-2,5,None,relu,0.4887157380580902,0.4887222349643707,0.7891867333030441,0.7891867333030441
CBP,CE,3-9-2,6,None,relu,0.4894716739654541,0.4894716739654541,0.7891867333030441,0.7891867333030441
CBP,CE,3-9-2,7,None,relu,0.4879659414291382,0.4879674017429352,0.7891867333030441,0.7891867333030441
CBP,CE,3-9-2,8,None,relu,0.4892906546592712,0.4892911016941071,0.7891867333030441,0.7891867333030441
CBP,CE,3-9-2,9,None,relu,0.4972147345542908,0.4972159564495087,0.7832803271240345,0.7782825988187188
BP,CE,3-10-2,0,None,relu,0.4887329339981079,0.4887329339981079,0.7891867333030441,0.7891867333030441
BP,CE,3-10-2,1,None,relu,0.4845346212387085,0.4845514297485352,0.7891867333030441,0.7891867333030441
BP,CE,3-10-2,2,None,relu,0.4928672909736633,0.4928767085075378,0.7841890049977283,0.7841890049977283
BP,CE,3-10-2,3,None,relu,0.4923375844955444,0.4923375844955444,0.7841890049977283,0.7841890049977283
BP,CE,3-10-2,4,None,relu,0.4899173676967621,0.4899173676967621,0.7891867333030441,0.7891867333030441
BP,CE,3-10-2,5,None,relu,0.4846956133842468,0.4847100377082825,0.7905497501135847,0.7905497501135847
BP,CE,3-10-2,6,None,relu,0.4967070817947388,0.4967070817947388,0.7819173103134939,0.7782825988187188
BP,CE,3-10-2,7,None,relu,0.4912858009338379,0.4912888705730438,0.7891867333030441,0.7891867333030441
