method,seed,train time (s),time for 78% (s),time for 79% (s)
BP,0,48.45,27.37,48.45
BP,1,47.86,18.25,47.86
BP,2,47.33,1.37,47.33
BP,3,48.0,1.03,48.0
BP,4,47.85,21.34,47.85
BP,5,47.51,23.48,47.51
BP,6,47.34,0.84,47.34
BP,7,47.39,27.97,47.39
BP,8,47.35,23.32,47.35
BP,9,47.15,28.87,47.15
CBP,0,47.97,1.55,47.97
CBP,1,47.2,0.62,47.2
CBP,2,47.23,1.77,47.23
CBP,3,47.91,1.88,47.91
CBP,4,47.38,5.48,47.38
CBP,5,47.78,4.62,47.78
CBP,6,47.34,3.92,47.34
CBP,7,47.4,47.4,47.4
CBP,8,47.71,1.93,47.71
CBP,9,47.36,1.88,47.36
BP,0,48.28,1.62,48.28
BP,1,46.08,32.99,46.08
BP,2,47.55,36.61,47.55
BP,3,48.06,3.55,48.06
BP,4,46.0,1.39,27.39
BP,5,47.92,19.21,47.92
BP,6,47.37,33.79,47.37
BP,7,46.22,2.09,46.22
BP,8,47.78,24.99,47.78
BP,9,47.61,1.69,43.77
CBP,0,46.23,1.96,46.23
CBP,1,47.97,46.84,47.97
CBP,2,46.07,1.07,46.07
CBP,3,47.8,3.36,47.8
CBP,4,45.64,5.72,45.64
CBP,5,48.3,4.07,48.3
CBP,6,45.82,1.56,45.82
CBP,7,47.83,3.68,47.83
CBP,8,46.24,5.24,46.24
CBP,9,47.77,5.09,47.77
BP,0,46.72,1.27,46.72
BP,1,48.15,20.39,48.15
BP,2,46.08,30.39,46.08
BP,3,47.79,2.61,47.79
BP,4,46.09,1.47,36.83
BP,5,47.96,24.4,47.96
BP,6,46.49,26.87,46.49
BP,7,47.87,23.84,47.87
BP,8,46.33,31.45,46.33
BP,9,47.65,3.7,47.65
CBP,0,46.61,1.29,46.61
CBP,1,47.78,3.74,47.78
CBP,2,46.41,4.06,46.41
CBP,3,48.28,3.18,48.28
CBP,4,46.16,1.64,46.16
CBP,5,48.5,34.53,48.5
CBP,6,46.34,5.7,46.34
CBP,7,48.03,5.88,48.03
CBP,8,46.65,4.07,22.57
CBP,9,47.92,3.59,47.92
BP,0,46.69,35.6,46.69
BP,1,48.69,25.67,48.69
BP,2,46.45,32.17,46.45
BP,3,46.41,2.9,46.41
BP,4,48.24,29.84,48.24
BP,5,46.34,27.58,46.34
BP,6,46.39,25.02,46.39
BP,7,48.18,1.73,48.18
BP,8,46.57,28.26,46.57
BP,9,45.96,2.9,45.96
CBP,0,46.75,4.0,29.49
CBP,1,46.72,29.92,46.72
CBP,2,46.54,3.35,46.54
CBP,3,46.83,3.24,44.14
CBP,4,47.22,4.09,47.22
CBP,5,46.89,4.14,41.0
CBP,6,46.86,2.76,46.86
CBP,7,46.53,3.48,46.53
CBP,8,46.81,3.72,46.81
CBP,9,46.77,4.08,46.77
BP,0,46.75,42.2,46.75
BP,1,46.19,3.15,46.19
BP,2,46.6,28.54,46.6
BP,3,46.6,3.04,46.6
BP,4,46.39,2.77,46.39
BP,5,46.83,25.07,46.83
BP,6,47.01,3.21,47.01
BP,7,46.69,25.64,46.69
BP,8,46.48,46.48,46.48
BP,9,46.26,18.32,46.26
CBP,0,46.96,2.42,38.3
CBP,1,46.59,19.71,46.59
CBP,2,46.3,3.74,21.54
CBP,3,46.38,3.65,42.67
CBP,4,46.84,6.47,46.84
CBP,5,46.67,16.19,34.97
CBP,6,46.77,4.18,37.54
CBP,7,46.75,3.68,46.75
CBP,8,46.55,6.26,46.55
CBP,9,47.06,3.96,47.06
BP,0,46.92,46.92,46.92
BP,1,46.77,46.77,46.77
BP,2,46.85,38.32,46.85
BP,3,46.38,3.16,46.38
BP,4,46.98,2.54,29.96
BP,5,46.95,18.29,22.59
BP,6,47.15,28.03,47.15
BP,7,46.57,39.37,46.57
BP,8,46.86,25.69,46.49
BP,9,46.98,2.76,46.98
CBP,0,46.61,12.31,44.44
CBP,1,47.08,3.96,47.08
CBP,2,47.12,3.31,44.88
CBP,3,46.69,3.68,35.25
CBP,4,46.92,3.68,46.92
CBP,5,46.8,3.91,46.8
CBP,6,47.24,2.83,47.24
CBP,7,47.09,6.19,47.09
CBP,8,47.1,3.71,47.1
CBP,9,47.27,2.9,47.27
BP,0,47.2,20.68,47.2
BP,1,46.97,23.67,46.97
BP,2,46.64,25.09,46.64
BP,3,46.72,4.3,46.72
BP,4,47.06,2.99,47.06
BP,5,47.36,15.2,47.08
BP,6,46.71,2.64,46.71
BP,7,47.02,28.13,47.02
BP,8,46.68,46.68,46.68
BP,9,47.04,21.91,47.04
CBP,0,47.0,3.71,47.0
CBP,1,47.06,0.33,47.06
CBP,2,47.16,4.13,47.16
CBP,3,46.9,6.26,38.13
CBP,4,47.34,6.33,47.34
CBP,5,46.98,6.28,46.98
CBP,6,47.09,3.91,47.09
CBP,7,47.08,3.9,47.08
CBP,8,46.68,4.09,46.68
CBP,9,47.11,3.19,47.11
