method,loss_func,net,seed,init,act_func,train loss,train loss (last),train acc,train acc (last)
BP,CE,20-20-2,0,None,relu,0.4462433159351349,0.4462433159351349,0.9510810810810808,0.9510810810810808
BP,CE,20-20-2,1,None,relu,0.35465916991233826,0.35465916991233826,0.9562162162162162,0.9562162162162162
BP,CE,20-20-2,2,None,relu,0.3953281044960022,0.3953281044960022,0.956891891891892,0.956891891891892
BP,CE,20-20-2,3,None,relu,0.3900257647037506,0.3900257647037506,0.964054054054054,0.964054054054054
BP,CE,20-20-2,4,None,relu,0.39777472615242,0.39777472615242,0.9628378378378378,0.9628378378378378
BP,CE,20-20-2,5,None,relu,0.3910215497016907,0.3910215497016907,0.967027027027027,0.967027027027027
BP,CE,20-20-2,6,None,relu,0.3923134505748749,0.3923134505748749,0.9602702702702702,0.9602702702702702
BP,CE,20-20-2,7,None,relu,0.4800589978694916,0.4800589978694916,0.9343243243243244,0.9343243243243244
BP,CE,20-20-2,8,None,relu,0.4897114336490631,0.4897114336490631,0.9410810810810812,0.9410810810810812
BP,CE,20-20-2,9,None,relu,0.3775278329849243,0.3775278329849243,0.9633783783783784,0.9633783783783784
CBP,CE,20-20-2,0,None,relu,0.17898781597614288,0.17898781597614288,0.9731081081081079,0.972972972972973
CBP,CE,20-20-2,1,None,relu,0.20629993081092834,0.20629993081092834,0.9739189189189188,0.9737837837837838
CBP,CE,20-20-2,2,None,relu,0.2108354270458221,0.2108354270458221,0.970945945945946,0.970945945945946
CBP,CE,20-20-2,3,None,relu,0.2153085619211197,0.2153085619211197,0.9704054054054054,0.9704054054054054
CBP,CE,20-20-2,4,None,relu,0.21184910833835602,0.21184910833835602,0.9722972972972972,0.9722972972972972
CBP,CE,20-20-2,5,None,relu,0.18411608040332794,0.18411608040332794,0.9706756756756756,0.9706756756756756
CBP,CE,20-20-2,6,None,relu,0.17527128756046295,0.17527128756046295,0.9732432432432432,0.9732432432432432
CBP,CE,20-20-2,7,None,relu,0.2127041220664978,0.2127041220664978,0.9731081081081079,0.9731081081081079
CBP,CE,20-20-2,8,None,relu,0.188452810049057,0.188452810049057,0.9717567567567568,0.9717567567567568
CBP,CE,20-20-2,9,None,relu,0.15968051552772522,0.15968051552772522,0.9739189189189188,0.9739189189189188
BP,CE,20-27-2,0,None,relu,0.3449634909629822,0.3449634909629822,0.9668918918918918,0.9667567567567568
BP,CE,20-27-2,1,None,relu,0.4025883376598358,0.4025883376598358,0.9586486486486486,0.9585135135135135
BP,CE,20-27-2,2,None,relu,0.4416484832763672,0.4416484832763672,0.9571621621621622,0.9571621621621622
BP,CE,20-27-2,3,None,relu,0.3768152594566345,0.3768152594566345,0.9682432432432432,0.9682432432432432
BP,CE,20-27-2,4,None,relu,0.4147060513496399,0.4147060513496399,0.9639189189189188,0.9639189189189188
BP,CE,20-27-2,5,None,relu,0.3794495761394501,0.3794495761394501,0.9632432432432432,0.9632432432432432
BP,CE,20-27-2,6,None,relu,0.4185647368431091,0.4185647368431091,0.9608108108108108,0.9608108108108108
BP,CE,20-27-2,7,None,relu,0.4097080826759337,0.4097080826759337,0.9601351351351352,0.9601351351351352
BP,CE,20-27-2,8,None,relu,0.3650129139423369,0.3650129139423369,0.9702702702702702,0.9702702702702702
BP,CE,20-27-2,9,None,relu,0.3649199008941649,0.3649199008941649,0.967027027027027,0.967027027027027
CBP,CE,20-27-2,0,None,relu,0.1880912333726883,0.1880912333726883,0.9724324324324324,0.9722972972972972
CBP,CE,20-27-2,1,None,relu,0.16835395991802216,0.16835395991802216,0.9704054054054054,0.9702702702702702
