method,seed,train time (s),time for 95% (s),time for 97% (s)
BP,0,37.8,35.66,37.8
BP,1,35.42,31.14,35.42
BP,2,35.44,33.43,35.44
BP,3,35.43,29.4,35.43
BP,4,36.92,31.61,36.92
BP,5,35.17,26.77,35.17
BP,6,35.68,30.78,35.68
BP,7,35.06,35.06,35.06
BP,8,37.14,37.14,37.14
BP,9,35.68,27.65,35.68
CBP,0,35.36,11.31,25.19
CBP,1,35.28,16.19,28.11
CBP,2,35.74,19.96,35.29
CBP,3,37.09,19.7,37.02
CBP,4,35.26,19.84,30.83
CBP,5,35.13,10.27,33.36
CBP,6,35.76,9.58,24.88
CBP,7,35.49,20.71,29.75
CBP,8,37.02,14.98,31.99
CBP,9,36.06,10.6,18.17
BP,0,35.81,26.65,35.81
BP,1,35.65,31.01,35.65
BP,2,35.4,34.13,35.4
BP,3,35.65,28.13,35.65
BP,4,35.48,30.38,35.48
BP,5,35.44,29.62,35.44
BP,6,37.82,32.88,37.82
BP,7,35.65,31.43,35.65
BP,8,35.49,25.54,35.34
BP,9,35.79,26.09,35.79
CBP,0,35.72,16.8,29.92
CBP,1,35.78,15.25,34.74
CBP,2,36.14,21.02,36.14
CBP,3,35.85,20.32,35.54
CBP,4,35.68,14.25,24.59
CBP,5,35.74,19.93,35.74
CBP,6,35.79,10.35,19.77
CBP,7,35.75,18.48,29.16
CBP,8,35.74,15.95,30.34
CBP,9,36.28,19.89,29.33
BP,0,35.84,29.71,35.84
BP,1,35.73,26.05,35.73
BP,2,36.2,30.34,36.2
BP,3,35.84,29.2,35.84
BP,4,36.03,25.84,36.03
BP,5,35.88,26.41,35.88
BP,6,35.79,31.49,35.79
BP,7,35.87,29.44,35.87
BP,8,35.87,35.87,35.87
BP,9,36.05,26.59,36.05
CBP,0,35.95,3.39,21.95
CBP,1,35.96,10.06,21.78
CBP,2,36.27,15.8,22.28
CBP,3,36.03,11.65,21.03
CBP,4,35.98,19.84,26.16
CBP,5,36.37,16.65,32.67
CBP,6,36.05,16.56,26.35
CBP,7,35.88,16.98,25.6
CBP,8,36.12,16.6,27.93
CBP,9,36.77,12.8,28.95
BP,0,36.66,31.94,36.66
BP,1,36.51,28.52,36.51
BP,2,34.94,29.01,34.94
BP,3,36.44,29.85,36.44
BP,4,36.38,29.31,36.38
BP,5,36.92,30.31,36.92
BP,6,36.36,27.79,36.36
BP,7,36.32,30.93,36.32
BP,8,36.81,32.96,36.81
BP,9,34.95,23.02,32.38
CBP,0,34.72,18.01,32.52
CBP,1,36.42,13.81,29.65
CBP,2,37.33,16.24,35.88
CBP,3,36.56,16.44,36.56
CBP,4,36.65,17.0,27.3
CBP,5,37.14,11.8,24.39
CBP,6,34.64,7.63,21.91
CBP,7,36.64,15.27,27.05
CBP,8,36.93,11.86,24.92
CBP,9,36.56,7.02,7.02
BP,0,36.87,27.01,36.87
BP,1,34.79,23.59,34.79
BP,2,37.11,27.29,37.11
BP,3,36.35,31.4,36.35
BP,4,36.48,26.21,36.48
BP,5,35.26,28.46,35.26
BP,6,36.72,26.69,36.72
BP,7,36.69,27.8,36.69
BP,8,37.22,27.96,37.22
BP,9,34.76,28.16,34.76
CBP,0,36.85,13.78,26.37
CBP,1,37.24,11.84,17.56
CBP,2,35.03,7.82,32.56
CBP,3,36.72,13.85,24.8
CBP,4,36.85,15.87,31.77
CBP,5,37.5,12.42,28.55
CBP,6,35.11,12.09,16.93
CBP,7,36.68,11.89,17.31
CBP,8,37.29,11.99,27.09
CBP,9,34.83,11.82,22.44
BP,0,37.05,28.22,37.05
BP,1,37.52,27.82,37.52
BP,2,35.08,25.1,35.08
BP,3,36.92,27.04,36.92
BP,4,35.25,22.66,34.63
BP,5,37.15,30.48,37.15
BP,6,37.01,23.43,36.78
BP,7,34.98,27.66,34.98
BP,8,37.34,26.96,37.34
BP,9,37.07,22.73,32.27
CBP,0,35.08,14.59,25.05
CBP,1,37.59,11.36,28.02
CBP,2,35.2,16.64,27.97
CBP,3,36.9,9.77,25.59
CBP,4,35.68,18.64,33.82
CBP,5,37.33,9.08,24.79
CBP,6,37.02,11.94,23.3
CBP,7,35.45,8.23,18.94
CBP,8,37.71,16.5,26.75
CBP,9,35.1,14.19,24.39
BP,0,37.28,22.74,37.28
BP,1,35.25,27.73,35.25
BP,2,37.93,33.82,37.93
BP,3,35.17,18.96,29.48
BP,4,37.56,26.61,37.56
BP,5,35.04,28.67,35.04
BP,6,37.22,21.86,32.55
BP,7,35.7,24.15,35.7
BP,8,37.37,27.25,37.37
BP,9,35.32,23.33,35.32
CBP,0,37.53,12.07,31.39
CBP,1,35.84,12.55,25.39
CBP,2,37.53,12.04,22.61
CBP,3,35.38,7.22,12.08
CBP,4,37.83,6.64,6.64
CBP,5,35.46,12.08,35.46
CBP,6,37.7,10.84,10.84
CBP,7,35.9,12.1,25.54
CBP,8,35.57,18.0,27.97
CBP,9,37.7,17.05,28.0
