method,loss_func,net,seed,init,act_func,train loss,train loss (last),train acc,train acc (last)
BP,CE,13-12-3,0,None,relu,0.01627437025308609,0.01627437025308609,1.0,1.0
BP,CE,13-12-3,1,None,relu,0.016843654215335846,0.016843654215335846,1.0,1.0
BP,CE,13-12-3,2,None,relu,0.015332690440118313,0.015332690440118313,1.0,1.0
BP,CE,13-12-3,3,None,relu,0.01639124378561974,0.01639124378561974,1.0,1.0
BP,CE,13-12-3,4,None,relu,0.01625342108309269,0.01625342108309269,1.0,1.0
BP,CE,13-12-3,5,None,relu,0.015817848965525627,0.015817848965525627,1.0,1.0
BP,CE,13-12-3,6,None,relu,0.016667161136865616,0.016667161136865616,1.0,1.0
BP,CE,13-12-3,7,None,relu,0.016343194991350174,0.016343194991350174,1.0,1.0
BP,CE,13-12-3,8,None,relu,0.015786701813340187,0.015786701813340187,1.0,1.0
BP,CE,13-12-3,9,None,relu,0.016581770032644272,0.016581770032644272,1.0,1.0
CBP,CE,13-12-3,0,None,relu,0.014434940181672571,0.014434940181672571,1.0,1.0
CBP,CE,13-12-3,1,None,relu,0.01588047668337822,0.01588047668337822,1.0,1.0
CBP,CE,13-12-3,2,None,relu,0.014612599276006222,0.014612599276006222,1.0,1.0
CBP,CE,13-12-3,3,None,relu,0.015975236892700195,0.015975236892700195,1.0,1.0
CBP,CE,13-12-3,4,None,relu,0.017045199871063232,0.017045199871063232,1.0,1.0
CBP,CE,13-12-3,5,None,relu,0.01486792042851448,0.01486792042851448,1.0,1.0
CBP,CE,13-12-3,6,None,relu,0.015630153939127922,0.015630153939127922,1.0,1.0
CBP,CE,13-12-3,7,None,relu,0.015405820682644844,0.015405820682644844,1.0,1.0
CBP,CE,13-12-3,8,None,relu,0.015838935971260067,0.015838935971260067,1.0,1.0
CBP,CE,13-12-3,9,None,relu,0.01602124236524105,0.01602124236524105,1.0,1.0
BP,CE,13-17-3,0,None,relu,0.016381934285163883,0.016381934285163883,1.0,1.0
BP,CE,13-17-3,1,None,relu,0.01551810372620821,0.01551810372620821,1.0,1.0
BP,CE,13-17-3,2,None,relu,0.015572183765470982,0.015572183765470982,1.0,1.0
BP,CE,13-17-3,3,None,relu,0.016085298731923103,0.016085298731923103,1.0,1.0
BP,CE,13-17-3,4,None,relu,0.01580570638179779,0.01580570638179779,1.0,1.0
BP,CE,13-17-3,5,None,relu,0.01583969220519066,0.01583969220519066,1.0,1.0
BP,CE,13-17-3,6,None,relu,0.01603119634091854,0.01603119634091854,1.0,1.0
BP,CE,13-17-3,7,None,relu,0.016200292855501175,0.016200292855501175,1.0,1.0
BP,CE,13-17-3,8,None,relu,0.016052598133683205,0.016052598133683205,1.0,1.0
BP,CE,13-17-3,9,None,relu,0.01604769006371498,0.01604769006371498,1.0,1.0
CBP,CE,13-17-3,0,None,relu,0.014611593447625637,0.014611593447625637,1.0,1.0
CBP,CE,13-17-3,1,None,relu,0.014713143929839134,0.014713143929839134,1.0,1.0
CBP,CE,13-17-3,2,None,relu,0.012652149423956871,0.012652149423956871,1.0,1.0
CBP,CE,13-17-3,3,None,relu,0.013157800771296023,0.013157800771296023,1.0,1.0
CBP,CE,13-17-3,4,None,relu,0.01293985452502966,0.01293985452502966,1.0,1.0
CBP,CE,13-17-3,5,None,relu,0.012941387481987476,0.012941387481987476,1.0,1.0
CBP,CE,13-17-3,6,None,relu,0.01623397506773472,0.01623397506773472,1.0,1.0
CBP,CE,13-17-3,7,None,relu,0.016731325536966324,0.016731325536966324,1.0,1.0
CBP,CE,13-17-3,8,None,relu,0.014270676299929619,0.014270676299929619,1.0,1.0
