method,seed,train time (s),time for 98% (s),time for 100% (s)
BP,0,3.29,0.44,1.91
BP,1,2.82,0.52,1.36
BP,2,2.84,0.22,0.98
BP,3,3.31,0.4,1.71
BP,4,2.81,0.29,1.23
BP,5,2.81,0.17,1.17
BP,6,3.28,0.37,1.93
BP,7,2.81,0.33,1.18
BP,8,2.8,0.16,1.04
BP,9,3.31,0.2,1.3
CBP,0,2.81,0.7,1.82
CBP,1,2.84,0.31,1.64
CBP,2,3.27,0.54,1.46
CBP,3,2.82,0.59,1.83
CBP,4,2.81,0.42,1.93
CBP,5,2.83,0.45,1.56
CBP,6,3.31,1.08,1.92
CBP,7,2.83,0.38,1.54
CBP,8,2.83,0.85,1.32
CBP,9,3.33,0.39,2.42
BP,0,2.8,0.37,1.29
BP,1,2.85,0.28,1.16
BP,2,3.4,0.3,1.07
BP,3,2.84,0.39,1.12
BP,4,2.86,0.36,1.15
BP,5,3.35,0.28,1.16
BP,6,2.86,0.34,1.19
BP,7,2.83,0.34,1.19
BP,8,2.83,0.4,1.19
BP,9,3.36,0.29,1.91
CBP,0,2.82,0.38,1.37
CBP,1,2.81,0.39,1.59
CBP,2,3.34,0.37,1.26
CBP,3,2.81,0.58,1.25
CBP,4,2.88,0.68,0.96
CBP,5,2.87,0.58,1.32
CBP,6,3.38,0.61,2.4
CBP,7,2.84,0.61,2.24
CBP,8,2.84,0.67,1.87
CBP,9,2.83,0.76,1.4
BP,0,2.81,0.36,1.26
BP,1,2.82,0.55,1.23
BP,2,2.84,0.34,1.13
BP,3,3.4,0.4,1.22
BP,4,2.86,0.33,1.22
BP,5,2.8,0.17,1.13
BP,6,2.84,0.37,1.28
BP,7,3.44,0.23,1.85
BP,8,2.85,0.29,1.17
BP,9,2.84,0.22,1.43
CBP,0,2.87,0.72,1.58
CBP,1,3.45,1.18,2.12
CBP,2,2.83,0.81,1.38
CBP,3,2.8,0.55,1.6
CBP,4,2.85,0.45,1.81
CBP,5,3.39,1.15,2.26
CBP,6,2.82,0.81,1.47
CBP,7,2.84,0.74,1.68
CBP,8,2.85,0.58,1.47
CBP,9,3.39,1.32,1.85
BP,0,2.84,0.45,1.39
BP,1,2.82,0.32,1.09
BP,2,3.42,0.34,1.02
BP,3,2.87,0.37,1.01
BP,4,2.84,0.39,1.14
BP,5,2.87,0.29,1.0
BP,6,3.47,0.42,1.24
BP,7,2.85,0.4,1.15
BP,8,2.85,0.37,1.06
BP,9,2.85,0.36,1.24
CBP,0,2.84,0.46,1.39
CBP,1,3.51,1.18,2.37
CBP,2,2.88,0.52,1.36
CBP,3,2.85,0.86,1.64
CBP,4,2.83,0.56,1.15
CBP,5,3.43,0.31,1.76
CBP,6,2.85,0.38,1.25
CBP,7,2.85,0.64,1.87
CBP,8,2.83,0.32,1.24
CBP,9,3.45,0.69,1.3
BP,0,2.82,0.4,1.28
BP,1,2.87,0.41,1.08
BP,2,2.82,0.39,1.12
BP,3,3.45,0.33,1.07
BP,4,2.82,0.29,1.19
BP,5,2.84,0.32,1.06
BP,6,2.82,0.4,1.21
BP,7,2.81,0.33,1.19
BP,8,3.48,0.33,1.65
BP,9,2.82,0.15,1.11
CBP,0,2.83,0.68,1.23
CBP,1,2.84,0.7,1.62
CBP,2,3.51,0.33,1.72
CBP,3,2.84,0.67,1.45
CBP,4,2.84,0.71,2.09
CBP,5,2.85,0.52,1.37
CBP,6,2.83,0.34,1.67
CBP,7,3.49,1.51,2.08
CBP,8,2.82,0.67,1.27
CBP,9,2.85,0.65,1.1
BP,0,2.9,0.33,1.18
BP,1,3.61,0.42,1.2
BP,2,2.88,0.28,1.23
BP,3,2.87,0.2,1.1
BP,4,2.89,0.25,1.16
BP,5,2.86,0.28,1.06
BP,6,3.58,0.36,1.98
BP,7,2.87,0.29,1.22
BP,8,2.96,0.41,1.18
BP,9,2.87,0.28,1.27
CBP,0,2.91,0.75,1.47
CBP,1,3.55,0.63,2.21
CBP,2,2.85,0.65,1.5
CBP,3,2.88,0.7,1.23
CBP,4,2.87,0.49,1.12
CBP,5,2.86,0.67,1.28
CBP,6,3.56,1.46,2.22
CBP,7,2.9,0.68,1.58
CBP,8,2.9,0.65,1.53
CBP,9,2.9,0.66,1.47
BP,0,3.62,0.25,1.27
BP,1,2.92,0.38,1.1
BP,2,2.92,0.35,1.18
BP,3,2.9,0.24,1.0
BP,4,2.92,0.3,1.08
BP,5,3.69,0.32,0.99
BP,6,2.92,0.36,1.36
BP,7,2.92,0.27,1.15
BP,8,2.91,0.34,0.97
BP,9,2.92,0.35,1.08
CBP,0,2.92,0.62,1.57
CBP,1,3.69,1.43,2.37
CBP,2,2.9,0.52,1.52
CBP,3,2.9,0.42,1.03
CBP,4,2.9,0.32,1.17
CBP,5,2.93,0.64,1.51
CBP,6,3.65,0.36,1.13
CBP,7,2.91,0.36,1.31
CBP,8,2.91,0.57,1.43
CBP,9,2.91,0.67,1.48
