init,method,seed,loss,type,optim
0.2,BP,0,0.6931473016738892,a,GD
0.2,BP,1,0.6931471824645996,a,GD
0.2,BP,2,0.6931474208831787,a,GD
0.2,BP,3,0.6931484937667847,a,GD
0.2,BP,4,0.6931468844413757,a,GD
0.2,BP,5,0.6931477189064026,a,GD
0.2,BP,6,0.6931471228599548,a,GD
0.2,BP,7,0.6931470632553101,a,GD
0.2,BP,8,0.6876985430717468,a,GD
0.2,BP,9,0.6931470632553101,a,GD
0.2,BP,10,0.6931466460227966,a,GD
0.2,BP,11,0.6931387782096863,a,GD
0.2,BP,12,0.6931427717208862,a,GD
0.2,BP,13,0.6930926442146301,a,GD
0.2,BP,14,0.6931482553482056,a,GD
0.2,BP,15,0.693146824836731,a,GD
0.2,BP,16,0.6931476593017578,a,GD
0.2,BP,17,0.3282709419727325,g,GD
0.2,BP,18,0.6931239366531372,a,GD
0.2,BP,19,0.6931481957435608,a,GD
0.2,BP,20,0.6931423544883728,a,GD
0.2,BP,21,0.6931463479995728,a,GD
0.2,BP,22,0.6931442022323608,a,GD
0.2,BP,23,0.6931474804878235,a,GD
0.2,BP,24,0.6931455135345459,a,GD
0.2,BP,25,0.6931424736976624,a,GD
0.2,BP,26,0.6931429505348206,a,GD
0.2,BP,27,0.6931472420692444,a,GD
0.2,BP,28,0.6931462287902832,a,GD
0.2,BP,29,0.6931461095809937,a,GD
0.2,BP,30,0.6931484937667847,a,GD
0.2,BP,31,0.6931470632553101,a,GD
0.2,BP,32,0.6886189579963684,a,GD
0.2,BP,33,0.693148672580719,a,GD
0.2,BP,34,0.6928565502166748,a,GD
0.2,BP,35,0.6931465864181519,a,GD
0.2,BP,36,0.6931468844413757,a,GD
0.2,BP,37,0.6931465864181519,a,GD
0.2,BP,38,0.6931447386741638,a,GD
0.2,BP,39,0.3251820206642151,g,GD
0.2,BP,40,0.693145751953125,a,GD
0.2,BP,41,0.6931477785110474,a,GD
0.2,BP,42,0.6930952668190002,a,GD
0.2,BP,43,0.6931328773498535,a,GD
0.2,BP,44,0.6931395530700684,a,GD
0.2,BP,45,0.6200395822525024,c+d,GD
0.2,BP,46,0.6931019425392151,a,GD
0.2,BP,47,0.6931270360946655,a,GD
0.2,BP,48,0.6931465268135071,a,GD
0.2,BP,49,0.6931085586547852,a,GD
0.2,BP,50,0.693139374256134,a,GD
0.2,BP,51,0.6931381821632385,a,GD
0.2,BP,52,0.693148136138916,a,GD
0.2,BP,53,0.6928298473358154,a,GD
0.2,BP,54,0.6931461095809937,a,GD
0.2,BP,55,0.6931459903717041,a,GD
0.2,BP,56,0.6931471228599548,a,GD
0.2,BP,57,0.6931477189064026,a,GD
0.2,BP,58,0.6931484341621399,a,GD
0.2,BP,59,0.6931435465812683,a,GD
0.2,BP,60,0.6931475400924683,a,GD
0.2,BP,61,0.6931472420692444,a,GD
0.2,BP,62,0.6931458115577698,a,GD
0.2,BP,63,0.6931411027908325,a,GD
0.2,BP,64,0.6931475400924683,a,GD
0.2,BP,65,0.6931476593017578,a,GD
0.2,BP,66,0.6931470632553101,a,GD
0.2,BP,67,0.6931450366973877,a,GD
0.2,BP,68,0.6931482553482056,a,GD
0.2,BP,69,0.6931385397911072,a,GD
0.2,BP,70,0.5985172986984253,c+d,GD
0.2,BP,71,0.6931442618370056,a,GD
0.2,BP,72,0.6931471228599548,a,GD
0.2,BP,73,0.6931458711624146,a,GD
0.2,BP,74,0.6931402683258057,a,GD
0.2,BP,75,0.6931450366973877,a,GD
0.2,BP,76,0.6931472420692444,a,GD
0.2,BP,77,0.6931425333023071,a,GD
0.2,BP,78,0.6931447982788086,a,GD
0.2,BP,79,0.6931458711624146,a,GD
0.2,BP,80,0.6931463479995728,a,GD
0.2,BP,81,0.693146824836731,a,GD
0.2,BP,82,0.6930164694786072,a,GD
0.2,BP,83,0.6931450366973877,a,GD
0.2,BP,84,0.6931383609771729,a,GD
0.2,BP,85,0.6931469440460205,a,GD
0.2,BP,86,0.6931317448616028,a,GD
0.2,BP,87,0.6922355890274048,a,GD
0.2,BP,88,0.6931461095809937,a,GD
0.2,BP,89,0.6931450963020325,a,GD
0.2,BP,90,0.6931471824645996,a,GD
0.2,BP,91,0.6931276321411133,a,GD
0.2,BP,92,0.6931459307670593,a,GD
0.2,BP,93,0.6931469440460205,a,GD
0.2,BP,94,0.6931463479995728,a,GD
0.2,BP,95,0.6931474208831787,a,GD
0.2,BP,96,0.6931455135345459,a,GD
0.2,BP,97,0.6931449174880981,a,GD
0.2,BP,98,0.693145215511322,a,GD
0.2,BP,99,0.693146288394928,a,GD
0.5,BP,0,0.5791878700256348,c+d,GD
0.5,BP,1,0.693146824836731,a,GD
0.5,BP,2,0.6931115388870239,a,GD
0.5,BP,3,0.6931465864181519,a,GD
0.5,BP,4,0.3250845074653625,g,GD
0.5,BP,5,0.4406409561634064,b,GD
0.5,BP,6,0.6926532983779907,a,GD
0.5,BP,7,0.4811308979988098,b,GD
0.5,BP,8,0.3250830173492432,g,GD
0.5,BP,9,0.672960102558136,a,GD
0.5,BP,10,0.3252800703048706,g,GD
0.5,BP,11,0.3250830173492432,g,GD
0.5,BP,12,0.3250830173492432,g,GD
0.5,BP,13,0.3250830173492432,g,GD
0.5,BP,14,0.6918103694915771,a,GD
0.5,BP,15,0.6929607987403871,a,GD
0.5,BP,16,0.6175258755683899,c+d,GD
0.5,BP,17,0.3250829875469208,g,GD
0.5,BP,18,0.3251138925552368,g,GD
0.5,BP,19,0.6926692724227905,a,GD
0.5,BP,20,0.3250831663608551,g,GD
0.5,BP,21,0.5197539329528809,b,GD
0.5,BP,22,0.32508304715156555,g,GD
0.5,BP,23,0.6931421756744385,a,GD
0.5,BP,24,0.3250840902328491,g,GD
0.5,BP,25,0.32508307695388794,g,GD
0.5,BP,26,0.325093686580658,g,GD
0.5,BP,27,0.3251891732215881,g,GD
0.5,BP,28,0.5132215619087219,b,GD
0.5,BP,29,0.3250847160816193,g,GD
0.5,BP,30,0.3250856995582581,g,GD
0.5,BP,31,0.3260525465011597,g,GD
0.5,BP,32,0.5104867219924927,b,GD
0.5,BP,33,0.6930301785469055,a,GD
0.5,BP,34,0.3250829875469208,g,GD
0.5,BP,35,0.615962028503418,c+d,GD
0.5,BP,36,0.32535797357559204,g,GD
0.5,BP,37,0.3283783793449402,g,GD
0.5,BP,38,0.3250834345817566,g,GD
0.5,BP,39,0.3250830173492432,g,GD
0.5,BP,40,0.3250831365585327,g,GD
0.5,BP,41,0.6931464076042175,a,GD
0.5,BP,42,0.5106861591339111,b,GD
0.5,BP,43,0.3250830173492432,g,GD
0.5,BP,44,0.3250830173492432,g,GD
0.5,BP,45,0.3250829875469208,g,GD
0.5,BP,46,0.3250829875469208,g,GD
0.5,BP,47,0.3250830173492432,g,GD
0.5,BP,48,0.3250914514064789,g,GD
0.5,BP,49,0.5044620037078857,b,GD
0.5,BP,50,0.3250830173492432,g,GD
0.5,BP,51,0.3250830173492432,g,GD
0.5,BP,52,0.3529363572597504,b,GD
0.5,BP,53,0.3250830173492432,g,GD
0.5,BP,54,0.5237812995910645,b,GD
0.5,BP,55,0.32508617639541626,g,GD
0.5,BP,56,0.6912141442298889,a,GD
0.5,BP,57,0.6929147839546204,a,GD
0.5,BP,58,0.5605788230895996,c+d,GD
0.5,BP,59,0.3250830173492432,g,GD
0.5,BP,60,0.604371190071106,c+d,GD
0.5,BP,61,0.3250859379768372,g,GD
0.5,BP,62,0.3250848650932312,g,GD
0.5,BP,63,0.32508307695388794,g,GD
0.5,BP,64,0.5481821894645691,b,GD
0.5,BP,65,0.325522780418396,g,GD
0.5,BP,66,0.3250955939292908,g,GD
0.5,BP,67,0.32530272006988525,g,GD
0.5,BP,68,0.6931482553482056,a,GD
0.5,BP,69,0.32508307695388794,g,GD
0.5,BP,70,0.3250829875469208,g,GD
0.5,BP,71,0.3250831365585327,g,GD
0.5,BP,72,0.3261323571205139,g,GD
0.5,BP,73,0.5112195014953613,b,GD
0.5,BP,74,0.3250829875469208,g,GD
0.5,BP,75,0.32508379220962524,g,GD
0.5,BP,76,0.693117618560791,a,GD
0.5,BP,77,0.32508307695388794,g,GD
0.5,BP,78,0.3250831663608551,g,GD
0.5,BP,79,0.5117105841636658,b,GD
0.5,BP,80,0.3250842094421387,g,GD
0.5,BP,81,0.32521894574165344,g,GD
0.5,BP,82,0.3250830173492432,g,GD
0.5,BP,83,0.3250880241394043,g,GD
0.5,BP,84,0.3250830173492432,g,GD
0.5,BP,85,0.6909876465797424,a,GD
0.5,BP,86,0.3250830173492432,g,GD
0.5,BP,87,0.3250829875469208,g,GD
0.5,BP,88,0.3250835537910461,g,GD
0.5,BP,89,0.32508307695388794,g,GD
0.5,BP,90,0.6931279897689819,a,GD
0.5,BP,91,0.3250829875469208,g,GD
0.5,BP,92,0.3250835537910461,g,GD
0.5,BP,93,0.32509845495224,g,GD
0.5,BP,94,0.3273282945156097,g,GD
0.5,BP,95,0.6909856796264648,a,GD
0.5,BP,96,0.3398049771785736,g,GD
0.5,BP,97,0.32508334517478943,g,GD
0.5,BP,98,0.32508623600006104,g,GD
0.5,BP,99,0.3250917196273804,g,GD
1.0,BP,0,0.3250851333141327,g,GD
1.0,BP,1,0.3379298746585846,g,GD
1.0,BP,2,0.3251761794090271,g,GD
1.0,BP,3,0.5133220553398132,b,GD
1.0,BP,4,0.3250830173492432,g,GD
1.0,BP,5,0.3250957131385803,g,GD
1.0,BP,6,0.3250830173492432,g,GD
1.0,BP,7,0.3250850439071655,g,GD
1.0,BP,8,0.3250829875469208,g,GD
1.0,BP,9,0.3250829875469208,g,GD
1.0,BP,10,0.3250830173492432,g,GD
1.0,BP,11,0.3250829875469208,g,GD
1.0,BP,12,0.3250829875469208,g,GD
1.0,BP,13,0.3250829875469208,g,GD
1.0,BP,14,0.3250829875469208,g,GD
1.0,BP,15,0.3250831365585327,g,GD
1.0,BP,16,0.3250830173492432,g,GD
1.0,BP,17,0.32508307695388794,g,GD
1.0,BP,18,0.5767455697059631,c+d,GD
1.0,BP,19,0.3250830173492432,g,GD
1.0,BP,20,0.3250830173492432,g,GD
1.0,BP,21,0.5121793150901794,b,GD
1.0,BP,22,0.3250830173492432,g,GD
1.0,BP,23,0.3250831961631775,g,GD
1.0,BP,24,0.3250829875469208,g,GD
1.0,BP,25,0.3250829875469208,g,GD
1.0,BP,26,0.5109453201293945,b,GD
1.0,BP,27,0.3250829875469208,g,GD
1.0,BP,28,0.5104168057441711,b,GD
1.0,BP,29,0.3250830173492432,g,GD
1.0,BP,30,0.3250830173492432,g,GD
1.0,BP,31,0.32508328557014465,g,GD
1.0,BP,32,0.5102198719978333,b,GD
1.0,BP,33,0.3250830173492432,g,GD
1.0,BP,34,0.5103656649589539,b,GD
1.0,BP,35,0.3250830173492432,g,GD
1.0,BP,36,0.3250830173492432,g,GD
1.0,BP,37,0.32508623600006104,g,GD
1.0,BP,38,0.5104012489318848,b,GD
1.0,BP,39,0.3250829875469208,g,GD
1.0,BP,40,0.3250830173492432,g,GD
1.0,BP,41,0.693070650100708,a,GD
1.0,BP,42,0.5102617144584656,b,GD
1.0,BP,43,0.3250833749771118,g,GD
1.0,BP,44,0.3250830173492432,g,GD
1.0,BP,45,0.3250829875469208,g,GD
1.0,BP,46,0.3250830173492432,g,GD
1.0,BP,47,0.3250830173492432,g,GD
1.0,BP,48,0.3250829875469208,g,GD
1.0,BP,49,0.5102287530899048,b,GD
1.0,BP,50,0.3250830173492432,g,GD
1.0,BP,51,0.3250829875469208,g,GD
1.0,BP,52,0.3250829875469208,g,GD
1.0,BP,53,0.3250861167907715,g,GD
1.0,BP,54,0.5123270750045776,b,GD
1.0,BP,55,0.3250829875469208,g,GD
1.0,BP,56,0.3250830173492432,g,GD
1.0,BP,57,0.32508307695388794,g,GD
1.0,BP,58,0.3250830173492432,g,GD
1.0,BP,59,0.3250830173492432,g,GD
1.0,BP,60,0.3250889778137207,g,GD
1.0,BP,61,0.3250829875469208,g,GD
1.0,BP,62,0.5104684829711914,b,GD
1.0,BP,63,0.3250830173492432,g,GD
1.0,BP,64,0.3250830173492432,g,GD
1.0,BP,65,0.3250830173492432,g,GD
1.0,BP,66,0.3250829875469208,g,GD
1.0,BP,67,0.3250831961631775,g,GD
1.0,BP,68,0.6931471824645996,a,GD
1.0,BP,69,0.3250831961631775,g,GD
1.0,BP,70,0.3250829875469208,g,GD
1.0,BP,71,0.3250829875469208,g,GD
1.0,BP,72,0.3250829875469208,g,GD
1.0,BP,73,0.5103117823600769,b,GD
1.0,BP,74,0.3250830173492432,g,GD
1.0,BP,75,0.5104500651359558,b,GD
1.0,BP,76,0.32508304715156555,g,GD
1.0,BP,77,0.3250829875469208,g,GD
1.0,BP,78,0.3250830173492432,g,GD
1.0,BP,79,0.5103797316551208,b,GD
1.0,BP,80,0.3250829875469208,g,GD
1.0,BP,81,0.3250829875469208,g,GD
1.0,BP,82,0.5103564262390137,b,GD
1.0,BP,83,0.3250830173492432,g,GD
1.0,BP,84,0.3250829875469208,g,GD
1.0,BP,85,0.3250962197780609,g,GD
1.0,BP,86,0.3250830173492432,g,GD
1.0,BP,87,0.3250829875469208,g,GD
1.0,BP,88,0.3250830173492432,g,GD
1.0,BP,89,0.3250830173492432,g,GD
1.0,BP,90,0.3250848054885864,g,GD
1.0,BP,91,0.3250829875469208,g,GD
1.0,BP,92,0.3250829875469208,g,GD
1.0,BP,93,0.3250830173492432,g,GD
1.0,BP,94,0.32508349418640137,g,GD
1.0,BP,95,0.32508304715156555,g,GD
1.0,BP,96,0.3250829875469208,g,GD
1.0,BP,97,0.3250830173492432,g,GD
1.0,BP,98,0.510445237159729,b,GD
1.0,BP,99,0.3250829875469208,g,GD
3.0,BP,0,0.32508307695388794,g,GD
3.0,BP,1,0.3250829875469208,g,GD
3.0,BP,2,0.32508304715156555,g,GD
3.0,BP,3,0.5111528635025024,b,GD
3.0,BP,4,0.3250830173492432,g,GD
3.0,BP,5,0.5104372501373291,b,GD
3.0,BP,6,0.3250830173492432,g,GD
3.0,BP,7,0.5101926922798157,b,GD
3.0,BP,8,0.3250829875469208,g,GD
3.0,BP,9,0.3250830173492432,g,GD
3.0,BP,10,0.3250830173492432,g,GD
3.0,BP,11,0.3250829875469208,g,GD
3.0,BP,12,0.3250829875469208,g,GD
3.0,BP,13,0.5101454257965088,b,GD
3.0,BP,14,0.3250830173492432,g,GD
3.0,BP,15,0.5113413333892822,b,GD
3.0,BP,16,0.5101556181907654,b,GD
3.0,BP,17,0.5761982798576355,c+d,GD
3.0,BP,18,0.576323390007019,c+d,GD
3.0,BP,19,0.5749125480651855,c+d,GD
3.0,BP,20,0.3250829875469208,g,GD
3.0,BP,21,0.5112705230712891,b,GD
3.0,BP,22,0.3250830173492432,g,GD
3.0,BP,23,0.3250829875469208,g,GD
3.0,BP,24,0.3250829875469208,g,GD
3.0,BP,25,0.3250829875469208,g,GD
3.0,BP,26,0.5111637115478516,b,GD
3.0,BP,27,0.3250829577445984,g,GD
3.0,BP,28,0.5101484060287476,b,GD
3.0,BP,29,0.3250830173492432,g,GD
3.0,BP,30,0.3250830173492432,g,GD
3.0,BP,31,0.5753693580627441,c+d,GD
3.0,BP,32,0.5101078748703003,b,GD
3.0,BP,33,0.325093537569046,g,GD
3.0,BP,34,0.5101914405822754,b,GD
3.0,BP,35,0.5112192630767822,b,GD
3.0,BP,36,0.5102134346961975,b,GD
3.0,BP,37,0.32508304715156555,g,GD
3.0,BP,38,0.5744785666465759,c+d,GD
3.0,BP,39,0.3250829875469208,g,GD
3.0,BP,40,0.5101639032363892,b,GD
3.0,BP,41,0.3250830173492432,g,GD
3.0,BP,42,0.5101101398468018,b,GD
3.0,BP,43,0.32508543133735657,g,GD
3.0,BP,44,0.3250830173492432,g,GD
3.0,BP,45,0.3250829875469208,g,GD
3.0,BP,46,0.3250830173492432,g,GD
3.0,BP,47,0.3250830173492432,g,GD
3.0,BP,48,0.3250830173492432,g,GD
3.0,BP,49,0.5100739002227783,b,GD
3.0,BP,50,0.3250830173492432,g,GD
3.0,BP,51,0.5101267099380493,b,GD
3.0,BP,52,0.5105530619621277,b,GD
3.0,BP,53,0.5749987363815308,c+d,GD
3.0,BP,54,0.5112233161926271,b,GD
3.0,BP,55,0.5092610120773315,b,GD
3.0,BP,56,0.3250829875469208,g,GD
3.0,BP,57,0.3250830173492432,g,GD
3.0,BP,58,0.3250829875469208,g,GD
3.0,BP,59,0.3250829875469208,g,GD
3.0,BP,60,0.32508307695388794,g,GD
3.0,BP,61,0.32513076066970825,g,GD
3.0,BP,62,0.5101780295372009,b,GD
3.0,BP,63,0.5745415091514587,c+d,GD
3.0,BP,64,0.510391891002655,b,GD
3.0,BP,65,0.5105487108230591,b,GD
3.0,BP,66,0.3250830173492432,g,GD
3.0,BP,67,0.3250830173492432,g,GD
3.0,BP,68,0.5785868167877197,c+d,GD
3.0,BP,69,0.5111993551254272,b,GD
3.0,BP,70,0.576399564743042,c+d,GD
3.0,BP,71,0.3250830173492432,g,GD
3.0,BP,72,0.3250830173492432,g,GD
3.0,BP,73,0.5101327300071716,b,GD
3.0,BP,74,0.5101305842399597,b,GD
3.0,BP,75,0.5101948380470276,b,GD
3.0,BP,76,0.3250830173492432,g,GD
3.0,BP,77,0.3250829875469208,g,GD
3.0,BP,78,0.5756131410598755,c+d,GD
3.0,BP,79,0.510140061378479,b,GD
3.0,BP,80,0.3250830173492432,g,GD
3.0,BP,81,0.3250829875469208,g,GD
3.0,BP,82,0.5101891756057739,b,GD
3.0,BP,83,0.5112665891647339,b,GD
3.0,BP,84,0.3250830173492432,g,GD
3.0,BP,85,0.5102237462997437,b,GD
3.0,BP,86,0.5111253261566162,b,GD
3.0,BP,87,0.3250829875469208,g,GD
3.0,BP,88,0.5733999609947205,c+d,GD
3.0,BP,89,0.3250830173492432,g,GD
3.0,BP,90,0.5115499496459961,b,GD
3.0,BP,91,0.3250830173492432,g,GD
3.0,BP,92,0.3250832557678223,g,GD
3.0,BP,93,0.5703374743461609,c+d,GD
3.0,BP,94,0.5101686716079712,b,GD
3.0,BP,95,0.3250830173492432,g,GD
3.0,BP,96,0.3250830173492432,g,GD
3.0,BP,97,0.3250829875469208,g,GD
3.0,BP,98,0.5105834007263184,b,GD
3.0,BP,99,0.511194109916687,b,GD
0.2,CBP,0,0.3250868916511536,g,GD
0.2,CBP,1,0.3250865936279297,g,GD
0.2,CBP,2,0.3290175795555115,g,GD
0.2,CBP,3,0.3250865936279297,g,GD
0.2,CBP,4,0.3250866532325745,g,GD
0.2,CBP,5,0.32937076687812805,g,GD
0.2,CBP,6,0.3250868618488312,g,GD
0.2,CBP,7,0.3295198678970337,g,GD
0.2,CBP,8,0.3250866532325745,g,GD
0.2,CBP,9,0.32951483130455017,g,GD
0.2,CBP,10,0.6931477785110474,a,GD
0.2,CBP,11,0.3300130367279053,g,GD
0.2,CBP,12,0.3296964168548584,g,GD
0.2,CBP,13,0.3250868022441864,g,GD
0.2,CBP,14,0.3250866532325745,g,GD
0.2,CBP,15,0.33046314120292664,g,GD
0.2,CBP,16,0.3250868022441864,g,GD
0.2,CBP,17,0.3250867426395416,g,GD
0.2,CBP,18,0.3250866234302521,g,GD
0.2,CBP,19,0.3250865638256073,g,GD
0.2,CBP,20,0.3250868320465088,g,GD
0.2,CBP,21,0.3250867426395416,g,GD
0.2,CBP,22,0.3250868320465088,g,GD
0.2,CBP,23,0.3289181292057037,g,GD
0.2,CBP,24,0.3250865340232849,g,GD
0.2,CBP,25,0.3250866234302521,g,GD
0.2,CBP,26,0.3250866532325745,g,GD
0.2,CBP,27,0.32983747124671936,g,GD
0.2,CBP,28,0.325086772441864,g,GD
0.2,CBP,29,0.3250865340232849,g,GD
0.2,CBP,30,0.3250866234302521,g,GD
0.2,CBP,31,0.3289209008216858,g,GD
0.2,CBP,32,0.3303034007549286,g,GD
0.2,CBP,33,0.3250868916511536,g,GD
0.2,CBP,34,0.3292889893054962,g,GD
0.2,CBP,35,0.32508668303489685,g,GD
0.2,CBP,36,0.3302618861198425,g,GD
0.2,CBP,37,0.3250865936279297,g,GD
0.2,CBP,38,0.3289826512336731,g,GD
0.2,CBP,39,0.3301254212856293,g,GD
0.2,CBP,40,0.3250864744186401,g,GD
0.2,CBP,41,0.3297600746154785,g,GD
0.2,CBP,42,0.3290510177612305,g,GD
0.2,CBP,43,0.3250867426395416,g,GD
0.2,CBP,44,0.32508671283721924,g,GD
0.2,CBP,45,0.3250868618488312,g,GD
0.2,CBP,46,0.325086772441864,g,GD
0.2,CBP,47,0.32969725131988525,g,GD
0.2,CBP,48,0.329616516828537,g,GD
0.2,CBP,49,0.3250866234302521,g,GD
0.2,CBP,50,0.3288948833942413,g,GD
0.2,CBP,51,0.3291740119457245,g,GD
0.2,CBP,52,0.3250865936279297,g,GD
0.2,CBP,53,0.3250865340232849,g,GD
0.2,CBP,54,0.32508671283721924,g,GD
0.2,CBP,55,0.3289951682090759,g,GD
0.2,CBP,56,0.33022916316986084,g,GD
0.2,CBP,57,0.3250866532325745,g,GD
0.2,CBP,58,0.32979270815849304,g,GD
0.2,CBP,59,0.3250865638256073,g,GD
0.2,CBP,60,0.325086772441864,g,GD
0.2,CBP,61,0.3250868022441864,g,GD
0.2,CBP,62,0.3292010724544525,g,GD
0.2,CBP,63,0.3250865638256073,g,GD
0.2,CBP,64,0.3250867426395416,g,GD
0.2,CBP,65,0.3250865936279297,g,GD
0.2,CBP,66,0.3250865638256073,g,GD
0.2,CBP,67,0.3250865340232849,g,GD
0.2,CBP,68,0.32508671283721924,g,GD
0.2,CBP,69,0.3250865936279297,g,GD
0.2,CBP,70,0.3250865638256073,g,GD
0.2,CBP,71,0.3250866234302521,g,GD
0.2,CBP,72,0.3250865340232849,g,GD
0.2,CBP,73,0.3289340436458588,g,GD
0.2,CBP,74,0.32508671283721924,g,GD
0.2,CBP,75,0.3293951749801636,g,GD
0.2,CBP,76,0.3301127552986145,g,GD
0.2,CBP,77,0.3250865936279297,g,GD
0.2,CBP,78,0.325086772441864,g,GD
0.2,CBP,79,0.3250866532325745,g,GD
0.2,CBP,80,0.3250865936279297,g,GD
0.2,CBP,81,0.3250865638256073,g,GD
0.2,CBP,82,0.3303331732749939,g,GD
0.2,CBP,83,0.3250865638256073,g,GD
0.2,CBP,84,0.3250864744186401,g,GD
0.2,CBP,85,0.3250865936279297,g,GD
0.2,CBP,86,0.3292109966278076,g,GD
0.2,CBP,87,0.3250866234302521,g,GD
0.2,CBP,88,0.3250865936279297,g,GD
0.2,CBP,89,0.32508668303489685,g,GD
0.2,CBP,90,0.3250865936279297,g,GD
0.2,CBP,91,0.3303241729736328,g,GD
0.2,CBP,92,0.3250868022441864,g,GD
0.2,CBP,93,0.3301810622215271,g,GD
0.2,CBP,94,0.32941293716430664,g,GD
0.2,CBP,95,0.3250865936279297,g,GD
0.2,CBP,96,0.3293581306934357,g,GD
0.2,CBP,97,0.32508668303489685,g,GD
0.2,CBP,98,0.32508668303489685,g,GD
0.2,CBP,99,0.3289092183113098,g,GD
0.5,CBP,0,0.3304358124732971,g,GD
0.5,CBP,1,0.3289884328842163,g,GD
0.5,CBP,2,0.329899400472641,g,GD
0.5,CBP,3,0.3299339711666107,g,GD
0.5,CBP,4,0.3250865638256073,g,GD
0.5,CBP,5,0.3290638625621796,g,GD
0.5,CBP,6,0.3292473256587982,g,GD
0.5,CBP,7,0.3287493586540222,g,GD
0.5,CBP,8,0.3250866234302521,g,GD
0.5,CBP,9,0.3250866532325745,g,GD
0.5,CBP,10,0.32508671283721924,g,GD
0.5,CBP,11,0.3250865936279297,g,GD
0.5,CBP,12,0.3250865638256073,g,GD
0.5,CBP,13,0.3250866532325745,g,GD
0.5,CBP,14,0.32870548963546753,g,GD
0.5,CBP,15,0.3291458487510681,g,GD
0.5,CBP,16,0.32508671283721924,g,GD
0.5,CBP,17,0.3312937021255493,g,GD
0.5,CBP,18,0.3250865936279297,g,GD
0.5,CBP,19,0.329865038394928,g,GD
0.5,CBP,20,0.3250868320465088,g,GD
0.5,CBP,21,0.3300638794898987,g,GD
0.5,CBP,22,0.3302823901176453,g,GD
0.5,CBP,23,0.3250866532325745,g,GD
0.5,CBP,24,0.32508671283721924,g,GD
0.5,CBP,25,0.325086772441864,g,GD
0.5,CBP,26,0.3250867426395416,g,GD
0.5,CBP,27,0.3250865042209625,g,GD
0.5,CBP,28,0.3293290138244629,g,GD
0.5,CBP,29,0.3300744295120239,g,GD
0.5,CBP,30,0.3299550414085388,g,GD
0.5,CBP,31,0.330769956111908,g,GD
0.5,CBP,32,0.32966968417167664,g,GD
0.5,CBP,33,0.3287038207054138,g,GD
0.5,CBP,34,0.33026215434074396,g,GD
0.5,CBP,35,0.32920151948928833,g,GD
0.5,CBP,36,0.3290853798389435,g,GD
0.5,CBP,37,0.3290318250656128,g,GD
0.5,CBP,38,0.3288450837135315,g,GD
0.5,CBP,39,0.3302989602088928,g,GD
0.5,CBP,40,0.3294461369514465,g,GD
0.5,CBP,41,0.32508668303489685,g,GD
0.5,CBP,42,0.3304502367973328,g,GD
0.5,CBP,43,0.32508671283721924,g,GD
0.5,CBP,44,0.3250866532325745,g,GD
0.5,CBP,45,0.3303781151771545,g,GD
0.5,CBP,46,0.3299081325531006,g,GD
0.5,CBP,47,0.3250866234302521,g,GD
0.5,CBP,48,0.3250866532325745,g,GD
0.5,CBP,49,0.3300493359565735,g,GD
0.5,CBP,50,0.3298695683479309,g,GD
0.5,CBP,51,0.32508671283721924,g,GD
0.5,CBP,52,0.33131492137908936,g,GD
0.5,CBP,53,0.3250865340232849,g,GD
0.5,CBP,54,0.32958248257637024,g,GD
0.5,CBP,55,0.3250865638256073,g,GD
0.5,CBP,56,0.3250865340232849,g,GD
0.5,CBP,57,0.3250868320465088,g,GD
0.5,CBP,58,0.3292221426963806,g,GD
0.5,CBP,59,0.32508671283721924,g,GD
0.5,CBP,60,0.3303443491458893,g,GD
0.5,CBP,61,0.3250866234302521,g,GD
0.5,CBP,62,0.3250868916511536,g,GD
0.5,CBP,63,0.3308451175689697,g,GD
0.5,CBP,64,0.3289471864700317,g,GD
0.5,CBP,65,0.3307661712169647,g,GD
0.5,CBP,66,0.32508671283721924,g,GD
0.5,CBP,67,0.33111533522605896,g,GD
0.5,CBP,68,0.3250867426395416,g,GD
0.5,CBP,69,0.3306241631507873,g,GD
0.5,CBP,70,0.33109015226364136,g,GD
0.5,CBP,71,0.3297626078128815,g,GD
0.5,CBP,72,0.3299027681350708,g,GD
0.5,CBP,73,0.3289623260498047,g,GD
0.5,CBP,74,0.329009473323822,g,GD
0.5,CBP,75,0.3299083709716797,g,GD
0.5,CBP,76,0.3250866532325745,g,GD
0.5,CBP,77,0.3307380676269531,g,GD
0.5,CBP,78,0.3292732834815979,g,GD
0.5,CBP,79,0.3295666873455048,g,GD
0.5,CBP,80,0.3250868916511536,g,GD
0.5,CBP,81,0.3296549916267395,g,GD
0.5,CBP,82,0.32508715987205505,g,GD
