init,method,optim,minima,count
0.2,BP,GD,a,96
0.2,BP,GD,b,0
0.2,BP,GD,c+d,2
0.2,BP,GD,g,2
0.5,BP,GD,a,18
0.5,BP,GD,b,12
0.5,BP,GD,c+d,5
0.5,BP,GD,g,65
1.0,BP,GD,a,2
1.0,BP,GD,b,16
1.0,BP,GD,c+d,1
1.0,BP,GD,g,81
3.0,BP,GD,a,0
3.0,BP,GD,b,36
3.0,BP,GD,c+d,12
3.0,BP,GD,g,52
0.2,BP,Momentum,a,8
0.2,BP,Momentum,b,0
0.2,BP,Momentum,c+d,0
0.2,BP,Momentum,g,92
0.5,BP,Momentum,a,0
0.5,BP,Momentum,b,6
0.5,BP,Momentum,c+d,0
0.5,BP,Momentum,g,94
1.0,BP,Momentum,a,0
1.0,BP,Momentum,b,12
1.0,BP,Momentum,c+d,1
1.0,BP,Momentum,g,87
3.0,BP,Momentum,a,0
3.0,BP,Momentum,b,34
3.0,BP,Momentum,c+d,5
3.0,BP,Momentum,g,61
0.2,BP,Adam,a,0
0.2,BP,Adam,b,10
0.2,BP,Adam,c+d,49
0.2,BP,Adam,g,41
0.5,BP,Adam,a,0
0.5,BP,Adam,b,21
0.5,BP,Adam,c+d,25
0.5,BP,Adam,g,54
1.0,BP,Adam,a,0
1.0,BP,Adam,b,29
1.0,BP,Adam,c+d,6
1.0,BP,Adam,g,65
3.0,BP,Adam,a,0
3.0,BP,Adam,b,39
3.0,BP,Adam,c+d,6
3.0,BP,Adam,g,55
0.2,CBP,GD,a,1
0.2,CBP,GD,b,0
0.2,CBP,GD,c+d,0
0.2,CBP,GD,g,99
0.5,CBP,GD,a,0
0.5,CBP,GD,b,0
0.5,CBP,GD,c+d,0
0.5,CBP,GD,g,100
1.0,CBP,GD,a,0
1.0,CBP,GD,b,0
1.0,CBP,GD,c+d,0
1.0,CBP,GD,g,100
3.0,CBP,GD,a,0
3.0,CBP,GD,b,0
3.0,CBP,GD,c+d,0
3.0,CBP,GD,g,100
0.2,CBP,Momentum,a,0
0.2,CBP,Momentum,b,0
0.2,CBP,Momentum,c+d,0
0.2,CBP,Momentum,g,100
0.5,CBP,Momentum,a,0
0.5,CBP,Momentum,b,0
0.5,CBP,Momentum,c+d,0
0.5,CBP,Momentum,g,100
1.0,CBP,Momentum,a,0
1.0,CBP,Momentum,b,0
1.0,CBP,Momentum,c+d,0
1.0,CBP,Momentum,g,100
3.0,CBP,Momentum,a,0
3.0,CBP,Momentum,b,0
3.0,CBP,Momentum,c+d,0
3.0,CBP,Momentum,g,100
0.2,CBP,Adam,a,0
0.2,CBP,Adam,b,0
0.2,CBP,Adam,c+d,0
0.2,CBP,Adam,g,100
0.5,CBP,Adam,a,0
0.5,CBP,Adam,b,0
0.5,CBP,Adam,c+d,0
0.5,CBP,Adam,g,100
1.0,CBP,Adam,a,0
1.0,CBP,Adam,b,0
1.0,CBP,Adam,c+d,0
1.0,CBP,Adam,g,100
3.0,CBP,Adam,a,0
3.0,CBP,Adam,b,0
3.0,CBP,Adam,c+d,0
3.0,CBP,Adam,g,100
