init,method,minima,count
0.2,BP,a,96
0.2,BP,b,0
0.2,BP,c+d,2
0.2,BP,g,2
0.5,BP,a,18
0.5,BP,b,12
0.5,BP,c+d,5
0.5,BP,g,65
1.0,BP,a,2
1.0,BP,b,16
1.0,BP,c+d,1
1.0,BP,g,81
3.0,BP,a,0
3.0,BP,b,36
3.0,BP,c+d,12
3.0,BP,g,52
0.2,CBP,a,1
0.2,CBP,b,0
0.2,CBP,c+d,0
0.2,CBP,g,99
0.5,CBP,a,0
0.5,CBP,b,0
0.5,CBP,c+d,0
0.5,CBP,g,100
1.0,CBP,a,0
1.0,CBP,b,0
1.0,CBP,c+d,0
1.0,CBP,g,100
3.0,CBP,a,0
3.0,CBP,b,0
3.0,CBP,c+d,0
3.0,CBP,g,100
0.2,SBP,a,0
0.2,SBP,b,19
0.2,SBP,c+d,10
0.2,SBP,g,71
0.5,SBP,a,0
0.5,SBP,b,22
0.5,SBP,c+d,6
0.5,SBP,g,72
1.0,SBP,a,0
1.0,SBP,b,25
1.0,SBP,c+d,8
1.0,SBP,g,67
3.0,SBP,a,0
3.0,SBP,b,27
3.0,SBP,c+d,6
3.0,SBP,g,67
